Empty Cell,Professors,Analysts,Companies,Financial companies,Total
Damodaran,67,28,108,50,253
Ibbotson/Morningstar,49,18,130,52,249
Internal (own) estimate,25,50,52,30,157
Historical data,41,9,30,22,102
Bloomberg,8,20,41,21,90
Analysts/Inv. Banks,9,12,48,14,83
"Experience, subjective, own judgment",38,15,19,5,77
Fernandez,35,4,24,13,76
DMS,20,1,18,12,51
Duff&Phelps,2,1,21,20,44
"Surveys, conversations, …",12,2,8,6,28
Grabowski/Pratt's and Grabowski,1,3,14,6,24
Brealy & Myers,15,2,2,2,21
"Mckinsey, Copeland",2,2,9,6,19
CFA books,2,4,6,5,17
Economic Press,7,0,8,2,17
Reuters,1,4,8,3,16
Internet,1,1,12,0,14
Fama and French (2002),9,0,0,4,13
Implied MRP,4,2,2,2,10
Ross/Westerfield,10,0,0,0,10
Siegel,4,0,3,2,9
Othersa,107,26,103,37,273
SUM,469,204,666,314,1653
