Answers that do not provide a figure:,Answers that do not provide a figure:.1,Answers that do not provide a figure:.2,Answers that do not provide a figure:.3,Answers that do not provide a figure:.4,Answers that do not provide a figure:.5
Use a minimum IRR,12.0,,10.0,107.0,129
Use multiples,26.0,27.0,,67.0,120
“MRP is a concept that we do not use”,,,97.0,22.0,119
Use a Required Return to Equity,7.0,16.0,9.0,33.0,65
“Confidential. We don't disclose the assumptions”,,16.0,2.0,30.0,48
“The CAPM is not very useful”,7.0,,22.0,18.0,47
“I think about premia for particular stocks”,16.0,5.0,9.0,15.0,45
“I teach derivatives: I did not have to use a MRP”,43.0,,,,43
“I use whatever MRP is specified in the textbook”,16.0,,,,16
"“The MRP changes every day”, or “monthly”",2.0,9.0,,,11
“In my teaching I only use hypothetical numbers”,5.0,,,,5
"“I am an academic, not a practitioner”",5.0,,,,5
Other reasons,63.0,28.0,97.0,43.0,231
SUM,202.0,101.0,246.0,335.0,884
