Empty Cell,Average,Average,Median,Median,St. Dev.,St. Dev.
Empty Cell,2012,2011,2012,2011,2012,2011
USA,5.5,5.5,5.4,5.0,1.6,1.7
Spain,6.0,5.9,5.5,5.5,1.6,1.6
Germany,5.5,5.4,5.0,5.0,1.9,1.4
United Kingdom,5.5,5.3,5.0,5.0,1.9,2.2
Italy,5.6,5.5,5.5,5.0,1.4,1.4
Canada,5.4,5.9,5.5,5.0,1.3,2.1
Mexico,7.5,7.3,6.8,6.4,2.6,2.7
Brazil,7.9,7.7,7.0,7.0,4.7,4.6
France,5.9,6.0,6.0,6.0,1.5,1.5
China,8.7,9.4,7.1,7.8,4.6,5.1
Australia,5.9,5.8,6.0,5.2,1.4,1.9
South Africa,6.5,6.3,6.0,6.0,1.5,1.5
Netherlands,5.4,5.5,5.5,5.0,1.3,1.9
Russia,7.6,7.5,7.0,6.5,2.9,3.7
Switzerland,5.4,5.7,5.3,5.5,1.2,1.3
India,8.0,8.5,8.0,7.8,2.4,2.8
Chile,6.1,5.7,5.6,5.3,1.7,2.1
Norway,5.8,5.5,5.5,5.0,1.6,1.6
Sweden,5.9,5.9,6.0,5.5,1.2,1.4
Austria,5.7,6.0,6.0,5.7,1.6,1.8
Colombia,7.9,7.5,7.5,7.0,3.7,4.3
Belgium,6.0,6.1,6.0,6.1,1.1,1.0
Portugal,7.2,6.5,6.5,6.1,2.0,1.7
Argentina,10.9,9.9,10.0,9.0,3.6,3.4
Greece,9.6,7.4,7.4,7.2,4.4,2.7
Poland,6.4,6.2,6.0,6.0,1.6,1.1
Denmark,5.5,5.4,5.0,4.5,1.9,3.3
Japan,5.5,5.0,5.0,3.5,2.7,3.7
Peru,8.1,7.8,8.0,7.5,2.5,2.8
New Zealand,6.2,6.0,6.0,6.0,1.1,1.0
Czech Republic,6.8,6.1,7.0,6.0,1.6,0.9
Finland,6.0,5.4,6.0,4.7,1.6,2.0
Turkey,8.4,8.1,9.0,8.2,3.4,3.0
Luxembourg,6.0,6.1,6.0,6.1,0.8,1.3
Taiwan,7.7,8.9,7.1,8.0,2.0,3.8
Ireland,6.6,6.0,6.0,5.1,2.3,2.2
Israel,6.0,5.6,5.8,5.0,2.3,1.7
Korea (South),6.7,6.4,7.3,6.5,1.4,2.5
Indonesia,8.1,7.3,8.0,7.5,1.7,2.3
Hungary,7.4,8.0,7.0,8.0,2.3,2.4
Hong Kong,6.4,6.4,6.2,5.0,1.7,2.6
Pakistan,9.5,6.3,9.5,7.5,3.7,2.3
Egypt,9.2,7.6,8.0,7.0,3.2,2.3
Singapore,6.0,5.7,5.7,5.0,1.1,1.5
Thailand,8.1,7.9,8.1,6.5,1.8,2.8
Malaysia,5.9,4.5,6.4,3.5,1.9,2.2
Saudi Arabia,6.5,6.3,6.5,6.0,1.2,0.4
Kazakhstan,7.5,7.5,8.0,7.5,1.2,0.1
Philippines,7.4,5.6,6.1,5.5,2.0,0.2
Kuwait,6.8,6.6,6.6,6.5,1.1,0.2
Nigeria,10.1,6.9,8.5,6.0,3.7,1.6
UAE,8.0,9.7,8.0,10.0,1.2,0.8
Zimbabwe,10.5,6.5,12.5,5.5,3.0,2.4
Iran,17.2,22.9,19.5,19.5,7.9,17.8
Kenya,6.2,6.2,7.0,5.0,1.4,2.9
Zambia,7.2,6.6,7.0,6.0,1.0,1.6
