Empty Cell,Difference of averages,Difference of averages,Difference of averages,Difference of st. Deviations,Difference of st. Deviations,Difference of st. Deviations
Empty Cell,Prof – Anal,Prof – Comp,Prof – FinCo,Prof – Anal,Prof – Comp,Prof – FinCo
USA,0.6%,0.2%,0.0%,0.5%,0.0%,−0.4%
Spain,0.1%,−0.5%,−0.2%,0.1%,−0.6%,−0.3%
Germany,0.2%,0.6%,0.5%,0.4%,−0.4%,−0.5%
UK,0.2%,0.3%,−0.2%,1.4%,1.7%,1.8%
Italy,0.0%,0.2%,0.7%,0.0%,−0.2%,−0.1%
Canada,−0.5%,0.0%,0.3%,−0.1%,0.2%,0.5%
Mexico,2.5%,1.7%,2.1%,0.4%,−0.1%,−2.0%
Brazil,0.1%,−0.6%,−1.0%,−1.3%,−3.7%,−5.4%
France,−0.5%,0.0%,−0.4%,−0.4%,0.3%,−0.7%
China,−0.4%,−2.7%,−2.2%,−0.6%,−3.5%,−5.0%
Australia,−0.1%,−1.0%,0.0%,−0.1%,−0.4%,0.2%
South Africa,0.3%,1.1%,0.8%,−0.6%,−0.2%,0.3%
Netherlands,−0.8%,0.3%,−0.3%,−0.3%,−0.1%,0.2%
Russia,0.8%,−1.0%,−0.7%,−0.7%,−2.9%,−1.3%
Switzerland,−0.6%,0.0%,0.2%,−0.3%,0.0%,0.0%
India,0.3%,−0.4%,−0.8%,−0.7%,−1.6%,0.4%
Chile,0.3%,0.4%,−0.2%,−0.7%,−0.5%,−1.9%
Norway,−0.9%,0.4%,0.0%,−1.9%,−0.2%,−0.5%
Sweden,−0.1%,0.5%,0.0%,−0.4%,0.3%,−0.2%
Austria,−1.0%,−0.3%,0.3%,−0.7%,0.7%,−0.3%
Colombia,1.3%,−2.3%,0.1%,−0.1%,−2.7%,0.0%
Belgium,0.3%,0.0%,0.3%,−0.4%,−0.2%,−0.4%
Portugal,2.2%,0.7%,−0.5%,1.8%,1.0%,0.5%
Argentina,0.4%,−1.1%,0.2%,−0.3%,−1.4%,−0.6%
Greece,4.2%,−0.6%,−1.5%,3.0%,1.1%,0.9%
Poland,0.7%,0.9%,0.4%,−0.8%,−0.3%,−1.4%
Denmark,−1.2%,−0.8%,−0.8%,−1.1%,0.9%,0.1%
Japan,−0.8%,−0.2%,−1.6%,−2.3%,0.3%,0.0%
Peru,−0.3%,−2.1%,−0.3%,0.7%,−2.2%,0.3%
New Zealand,0.1%,−0.4%,−0.4%,1.0%,1.0%,0.8%
Czech Republic,−0.8%,−0.2%,0.0%,−1.3%,−0.2%,−0.8%
Finland,0.5%,−0.4%,−0.3%,0.0%,−1.5%,−0.3%
Turkey,2.6%,1.7%,1.3%,−0.8%,−3.9%,−0.7%
Luxembourg,−0.2%,0.0%,0.8%,−0.5%,0.5%,−0.5%
Taiwan,0.6%,−0.1%,0.4%,0.5%,1.3%,0.6%
Ireland,1.2%,0.4%,−1.2%,−0.2%,0.4%,−0.1%
Israel,2.1%,−0.6%,−0.7%,1.9%,1.0%,2.8%
Korea (South),−1.6%,−2.4%,−1.9%,0.2%,1.3%,1.7%
Indonesia,0.5%,1.6%,0.6%,−0.4%,−0.9%,−0.6%
Hungary,2.3%,1.4%,1.7%,−1.6%,−1.5%,−1.8%
Hong Kong,0.1%,1.1%,1.3%,−0.6%,0.9%,−0.1%
Pakistan,2.3%,4.5%,−0.4%,3.1%,1.3%,−0.5%
Egypt,3.8%,3.2%,−2.2%,1.5%,−1.0%,3.1%
Singapore,−0.4%,−0.2%,−0.3%,−1.1%,−1.0%,0.4%
Thailand,−0.3%,−0.9%,−0.4%,−1.5%,−0.3%,0.8%
Malaysia,1.0%,0.2%,−1.5%,−0.3%,−0.6%,1.7%
Saudi Arabia,1.1%,−0.1%,−1.6%,0.7%,0.3%,−1.4%
Kazakhstan,0.6%,1.7%,−0.1%,−0.6%,−0.8%,0.0%
Kuwait,0.2%,0.4%,−1.4%,0.1%,−1.0%,−2.1%
Romania,2.0%,1.3%,1.2%,−1.5%,−1.0%,−2.0%
UAE,−0.9%,1.1%,1.2%,1.3%,1.5%,1.6%
Ecuador,4.9%,8.8%,6.3%,−5.3%,−5.9%,−7.2%
Croatia,1.3%,−0.9%,−0.9%,0.6%,1.8%,1.8%
Bulgaria,1.2%,0.5%,0.0%,−1.1%,−0.5%,−1.1%
Vietnam,4.3%,1.0%,0.0%,−3.4%,−1.4%,0.0%
average,0.6%,0.3%,−0.1%,−0.3%,−0.5%,−0.4%
MAX,4.9%,8.8%,6.3%,3.1%,1.8%,3.1%
min,−1.6%,−2.7%,−2.2%,−5.3%,−5.9%,−7.2%
