Empty Cell,Average,Median,St. Dev.,min,Q1,Q3,MAX,Number of answers,MAX-min
USA,5.5,5.4,1.6,1.5,4.5,6.0,15.0,2223,13.5
Spain,6.0,5.5,1.6,3.0,5.0,6.3,15.0,958,12.0
Germany,5.5,5.0,1.9,1.0,4.5,6.0,17.0,281,16.0
United Kingdom,5.5,5.0,1.9,1.5,4.5,6.0,22.0,171,20.5
Italy,5.6,5.5,1.4,2.0,4.8,6.1,10.0,120,8.0
Canada,5.4,5.5,1.3,3.4,4.7,6.0,10.5,94,7.1
Mexico,7.5,6.8,2.6,3.0,6.0,9.0,20.0,87,17.0
Brazil,7.9,7.0,4.7,1.8,5.3,8.6,30.0,86,28.2
France,5.9,6.0,1.5,2.0,5.0,6.1,11.4,85,9.4
China,8.7,7.1,4.6,3.9,6.6,9.4,30.0,82,26.1
Australia,5.9,6.0,1.4,3.0,5.0,6.0,10.0,73,7.0
South Africa,6.5,6.0,1.5,3.0,5.5,7.2,11.8,73,8.8
Netherlands,5.4,5.5,1.3,2.5,5.0,6.0,11.6,72,9.1
Russia,7.6,7.0,2.9,2.7,6.0,8.5,25.0,70,22.3
Switzerland,5.4,5.3,1.2,3.0,4.5,6.0,9.6,68,6.6
India,8.0,8.0,2.4,2.3,6.0,9.0,16.0,66,13.7
Chile,6.1,5.6,1.7,4.0,5.3,7.0,15.0,63,11.0
Norway,5.8,5.5,1.6,3.5,5.0,6.0,11.7,58,8.2
Sweden,5.9,6.0,1.2,3.9,5.0,6.5,10.6,58,6.7
Austria,5.7,6.0,1.6,2.5,5.0,6.0,14.3,57,11.8
Colombia,7.9,7.5,3.7,2.0,6.5,9.0,20.5,57,18.5
Belgium,6.0,6.0,1.1,3.0,5.0,7.1,8.1,54,5.1
Portugal,7.2,6.5,2.0,4.0,6.0,9.0,14.0,53,10.0
Argentina,10.9,10.0,3.6,5.0,8.5,14.8,20.0,50,15.0
Greece,9.6,7.4,4.4,3.0,6.1,12.2,20.0,47,17.0
Poland,6.4,6.0,1.6,4.4,5.0,7.5,10.0,45,5.6
Denmark,5.5,5.0,1.9,2.0,4.5,6.0,14.0,43,12.0
Japan,5.5,5.0,2.7,2.0,4.0,7.1,16.7,41,14.7
Peru,8.1,8.0,2.5,3.5,6.9,9.0,15.0,41,11.5
New Zealand,6.2,6.0,1.1,2.0,5.5,7.0,9.0,40,7.0
Czech Republic,6.8,7.0,1.6,4.3,5.6,7.3,12.1,38,7.8
Finland,6.0,6.0,1.6,3.5,5.0,6.0,12.0,37,8.5
Turkey,8.4,9.0,3.4,2.5,5.5,10.5,18.0,37,15.5
Luxembourg,6.0,6.0,0.8,4.0,6.0,6.1,8.7,35,4.7
Taiwan,7.7,7.1,2.0,4.3,6.5,8.0,15.0,32,10.7
Ireland,6.6,6.0,2.3,2.7,5.3,8.8,12.3,31,9.6
Israel,6.0,5.8,2.3,3.0,4.5,7.3,15.0,30,12.0
Korea (South),6.7,7.3,1.4,2.0,6.4,7.5,11.1,30,9.1
Indonesia,8.1,8.0,1.7,4.5,7.3,9.6,11.4,28,6.9
Hungary,7.4,7.0,2.3,3.4,6.0,9.6,13.8,26,10.4
Hong Kong,6.4,6.2,1.7,3.5,5.5,6.4,11.9,24,8.4
Pakistan,9.5,9.5,3.7,5.0,6.5,11.3,15.0,24,10.0
Egypt,9.2,8.0,3.2,3.5,7.6,13.3,13.5,23,10.0
Singapore,6.0,5.7,1.1,3.9,5.5,6.0,9.6,23,5.7
Thailand,8.1,8.1,1.8,6.5,7.0,8.3,15.1,22,8.6
Malaysia,5.9,6.4,1.9,3.4,4.0,7.7,8.8,21,5.4
Saudi Arabia,6.5,6.5,1.2,5.5,5.5,7.1,10.6,21,5.1
Kazakhstan,7.5,8.0,1.2,4.7,7.4,8.6,8.6,20,3.9
