Empty Cell,Surveys of Ivo Welch,Surveys of Ivo Welch,Surveys of Ivo Welch,Surveys of Ivo Welch,Surveys of Ivo Welch,"Fernandez et al8, 9, 10","Fernandez et al8, 9, 10","Fernandez et al8, 9, 10","Fernandez et al8, 9, 10"
Empty Cell,Oct 97–Feb 98a,Jan–May 99b,Sep 2001c,Dec. 2007d,January 2009e,US 2008,Europe 2008,US 2009,Europe 2009
Number of answers,226.0,112.0,510.0,360.0,143.0,487.0,224.0,462.0,194.0
Average,7.2,6.8,4.7,5.96,6.2,6.3,5.3,6.0,5.3
Std. Deviation,2.0,2.0,2.2,1.7,1.7,2.2,1.5,1.7,1.7
Max,15.0,15.0,20.0,20.0,,19.0,10.0,12.0,12.0
Q3,8.4,8.0,6.0,7.0,7.0,7.2,6.0,7.0,6.0
Median,7.0,7.0,4.5,6.0,6.0,6.0,5.0,6.0,5.0
Q1,6.0,5.0,3.0,5.0,5.0,5.0,4.1,5.0,5.3
Min,1.5,1.5,0.0,2.0,,0.8,1.0,2.0,2.0
