Empty Cell,Average,Average,Average,Average,Standard deviation,Standard deviation,Standard deviation,Standard deviation,Number of answers,Number of answers,Number of answers,Number of answers
Empty Cell,Prof,Anal,Comp,FINCO,Prof,Anal,Comp,FINCO,Prof,Anal,Comp,FINCO
USA,5.6,5.0,5.5,5.6,1.6,1.1,1.6,1.9,751,314,781,377
Spain,5.7,5.6,6.3,5.9,1.2,1.2,1.9,1.5,102,262,393,201
Germany,5.7,5.5,5.1,5.2,1.8,1.4,2.2,2.2,61,66,83,71
United Kingdom,5.6,5.4,5.3,5.8,3.1,1.7,1.3,1.3,35,67,49,20
Italy,5.8,5.9,5.6,5.2,1.4,1.3,1.6,1.5,34,33,24,29
Canada,5.4,5.9,5.4,5.1,1.4,1.5,1.2,0.9,30,13,29,22
Mexico,9.2,6.7,7.5,7.1,2.2,1.8,2.3,4.3,19,33,23,12
Brazil,7.4,7.4,8.1,8.5,1.5,2.8,5.3,6.9,14,20,28,24
France,5.7,6.2,5.7,6.0,1.3,1.7,1.0,2.0,17,28,27,13
China,7.3,7.7,10.0,9.5,2.0,2.5,5.5,7.0,23,18,29,12
Australia,5.8,5.9,6.8,5.9,1.4,1.5,1.8,1.2,28,27,5,13
South Africa,7.1,6.8,6.1,6.3,1.3,1.9,1.5,1.0,12,19,23,19
Netherlands,5.1,5.9,4.8,5.4,1.1,1.4,1.2,0.8,21,29,14,8
Russia,7.5,6.7,8.5,8.1,1.0,1.7,3.9,2.3,6,28,29,7
Switzerland,5.1,5.7,5.1,5.0,1.0,1.3,1.1,1.0,20,30,11,7
India,7.8,7.6,8.3,8.6,1.5,2.2,3.1,1.1,20,13,28,5
Chile,6.2,5.9,5.8,6.4,0.7,1.4,1.2,2.5,10,23,13,17
Norway,5.7,6.5,5.3,5.6,0.6,2.5,0.9,1.1,10,18,19,11
Sweden,5.9,6.0,5.4,5.9,1.0,1.4,0.7,1.2,15,26,9,8
Austria,5.2,6.2,5.6,4.9,1.2,1.9,0.5,1.5,13,27,9,8
Colombia,7.8,6.4,10.1,7.6,2.3,2.5,5.0,2.3,10,25,18,4
Belgium,6.1,5.9,6.2,5.9,0.8,1.3,1.1,1.2,11,26,10,7
Portugal,8.1,6.0,7.4,8.6,2.6,0.8,1.6,2.1,12,22,9,10
Argentina,10.9,10.4,11.9,10.6,3.1,3.4,4.5,3.7,14,17,11,8
Greece,11.2,7.0,11.8,12.8,5.2,2.1,4.1,4.3,14,21,6,6
Poland,7.0,6.3,6.1,6.6,0.9,1.7,1.2,2.3,9,18,10,8
Denmark,4.8,5.9,5.6,5.6,1.5,2.7,0.7,1.5,12,15,6,10
Japan,4.8,5.6,5.0,6.4,2.2,4.5,1.9,2.2,13,8,6,14
Peru,7.4,7.7,9.5,7.7,1.9,1.2,4.1,1.6,8,16,10,7
New Zealand,6.1,6.0,6.5,6.5,1.6,0.6,0.7,0.8,15,11,8,6
Czech Republic,6.4,7.1,6.6,6.4,0.8,2.1,1.0,1.6,8,17,10,3
Finland,6.0,5.5,6.4,6.4,1.3,1.2,2.8,1.6,10,13,6,8
Turkey,10.1,7.5,8.4,8.8,1.7,2.6,5.6,2.4,8,17,9,3
Luxembourg,6.0,6.2,6.0,5.3,0.5,1.0,0.0,1.0,8,19,4,4
Taiwan,7.9,7.3,8.0,7.5,2.4,1.9,1.1,1.8,13,9,6,4
Ireland,7.0,5.8,6.6,8.1,2.2,2.4,1.8,2.3,8,12,6,5
Israel,6.6,4.5,7.2,7.3,2.8,0.9,1.8,0.0,13,10,5,2
Korea (South),5.6,7.2,8.1,7.5,2.0,1.8,0.7,0.4,12,10,4,4
Indonesia,8.7,8.2,7.1,8.1,1.2,1.6,2.1,1.8,5,13,6,4
Hungary,9.0,6.7,7.6,7.3,0.9,2.5,2.4,2.7,5,13,4,4
Hong Kong,6.7,6.7,5.6,5.4,1.6,2.1,0.7,1.7,9,9,3,3
Pakistan,11.8,9.5,7.3,12.2,4.5,1.3,3.1,4.9,5,7,9,3
Egypt,11.4,7.5,8.2,13.5,3.1,1.7,4.1,0.0,6,11,4,2
Singapore,5.7,6.1,5.9,6.0,0.4,1.5,1.4,0.0,6,12,3,2
Thailand,7.8,8.1,8.8,8.3,0.8,2.3,1.1,0.0,5,12,3,2
Malaysia,6.2,5.3,6.0,7.7,1.7,2.0,2.3,0.0,7,9,3,2
Saudi Arabia,6.6,5.5,6.7,8.2,0.7,0.0,0.4,2.0,7,6,5,3
Kazakhstan,8.2,7.5,6.5,8.3,0.6,1.2,1.4,0.7,5,7,5,3
Romania,9.0,7.0,7.8,7.8,0.0,1.5,1.0,2.0,3,7,4,3
UAE,8.0,8.9,6.9,6.8,1.7,0.4,0.2,0.1,5,7,2,3
Ecuador,18.8,13.8,10.0,12.5,0.0,5.3,5.9,7.2,3,5,4,4
Bulgaria,8.6,7.4,8.1,8.7,0.0,1.1,0.5,1.1,3,3,3,4
Vietnam,12.0,7.7,11.0,12.0,0.0,3.4,1.4,0.0,4,3,2,3
