Initial setup,"r = 0.09, T = 1/3","r = 0.09, T = 1/3","r = 0.09, T = 1/3","r = 0.09, T = 1/3","r = 0.09, T = 1/3","r = 0.09, T = 1/3","r = 0.09, T = 1/3","r = 0.09, T = 1/3","r = 0.09, T = 1/3","r = 0.09, T = 1/3"
Initial setup,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 3,Scenario 3,Scenario 4,Scenario 4,Scenario 5,Scenario 5
Initial setup,μ0 = 0.15,μ0 = 0.15,μ0 = 0.1,μ0 = 0.1,μ0 = 0.035,μ0 = 0.035,μ0 = 0.015,μ0 = 0.015,μ0 = 0.015,μ0 = 0.015
Initial setup,σ0 = 0.2,σ0 = 0.2,σ0 = 0.15,σ0 = 0.15,σ0 = 0.03,σ0 = 0.03,σ0 = 0.02,σ0 = 0.02,σ0 = 0.02,σ0 = 0.02
Initial setup,S0 = 100,S0 = 100,S0 = 50,S0 = 50,S0 = 5,S0 = 5,S0 = 0.5,S0 = 0.5,S0 = 0.1,S0 = 0.1
Initial setup,K = 90,K = 90,K = 45,K = 45,K = 4.5,K = 4.5,K = 0.45,K = 0.45,K = 0.09,K = 0.09
Option type,Euro,Asian,Euro,Asian,Euro,Asian,Euro,Asian,Euro,Asian
Option price,13.2999,12.5612,6.4325,5.7683,0.6330,0.514,0.0633,0.0498,0.0127,0.01
Delta,0.8906,183.7933,0.9459,58.7927,1,4.9124,1,0.4877,1,0.0975
Omega,6.6967,1463.2,7.3525,509.6173,7.8990,47.7859,7.8990,4.9011,7.8990,0.9802
Vega,10.8102,11.6821,3.1698,3.3519,5.88E-14,0.0489,1.56E-31,0.0032,3.22E-32,0.000649
Rho,25.2550,−71.7104,13.6208,121.0292,1.4557,136.5419,0.1456,31.5892,0.0291,6.0512
Theta,−10.0619,−634.3797,−4.3908,−163.5583,−0.3930,0.0463,−0.0393,0.0045,−0.0079,0.000896
