Initial setup,"r = 0.09,T = 1/3","r = 0.09,T = 1/3","r = 0.09,T = 1/3","r = 0.09,T = 1/3","r = 0.09,T = 1/3"
Initial setup,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
Initial setup,μ0 = 0.15,μ0 = 0.1,μ0 = 0.035,μ0 = 0.015,μ0 = 0.015
Initial setup,σ0 = 0.2,σ0 = 0.15,σ0 = 0.03,σ0 = 0.02,σ0 = 0.02
Initial setup,S0 = 100,S0 = 50,S0 = 5,S0 = 0.5,S0 = 0.1
Initial setup,K = 90,K = 45,K = 4.5,K = 0.45,K = 0.09
Residual,RN,RN,RN,RN,RN
N = 1,0.1755,0.2166,1.7699999999999998e-24,4.01e-53,2e-52
N = 2,0.0177,0.0748,1.45e-22,7.19e-50,1.7999999999999998e-48
N = 3,0.0014,0.0198,8.94e-21,9.680000000000001e-47,1.21e-44
N = 4,8.65e-05,0.0042,4.4e-19,1.0400000000000001e-43,6.52e-41
N = 5,4.51e-06,0.000738,1.81e-17,9.36e-41,2.92e-37
N = 6,2.02e-07,0.000111,6.35e-16,7.2e-38,1.12e-33
N = 7,7.88e-09,1.47e-05,1.96e-14,4.85e-35,3.79e-30
N = 8,2.74e-10,1.73e-06,5.35e-13,2.9e-32,1.1300000000000001e-26
N = 9,8.75e-12,1.8318e-07,1.32e-11,1.56e-29,3.0499999999999997e-23
N = 10,2.44e-13,1.76e-08,2.95e-10,7.640000000000001e-27,7.46e-20
