Empty Cell,Empty Cell,AR(1) – FIGARCH(1.d.1),AR(1) – FIGARCH(1.d.1),AR(1) – FIGARCH(1.d.1),AR(1) – HYGARCH(1.d.1),AR(1) – HYGARCH(1.d.1),AR(1) – HYGARCH(1.d.1),AR(1) – FIAPARCH(1.d.1),AR(1) – FIAPARCH(1.d.1),AR(1) – FIAPARCH(1.d.1)
Empty Cell,Empty Cell.1,α,β,R2,α,β,R2,α,β,R2
Indices,DAX,0.11,−0.04,0.000533006,0.11,−0.04,0.000537348,0.08,−0.01,9.61483e-05
Indices,DOW JONES,−0.16,0.38,0.00643073,−0.16,0.38,0.00641623,−0.14,0.306,0.00722727
Indices,NASDAQ,−0.033,0.07,0.000642019,−0.03,0.07,0.000691542,−0.02,0.06,0.000665357
Indices,NIKKEI,0.068,−0.002,1.57335e-06,0.06,0.000,2.12012e-07,0.04,0.01,8.50767e-05
Indices,CAC40,0.06,−0.01,9.88671e-05,0.07,−0.01,9.80916e-05,0.033,0.026,0.00028156
Indices,FTSE 100,0.04,0.01,9.27359e-05,0.04,0.01,6.49319e-05,0.02,0.05,0.0010579
Indices,S&P 500,−0.11,0.28,0.00369096,−0.11,0.29,0.00383687,−0.13,0.29,0.0070623
Exchange rate,Euro,0.03,−0.08,4.03567e-05,0.04,−0.10,5.87205e-05,−0.002,0.03,1.14566e-05
Exchange rate,GBP,0.17,−0.64,0.00614568,0.18,−0.65,0.00619664,0.21,−0.77,0.00943436
Exchange rate,Yen,0.03,−0.08,8.88553e-05,0.03,−0.08,8.78054e-05,0.03,−0.08,0.000116371
