asset,Noum,Sample period,Observations
Indices,DAX,01/02/1990 − 10/10/2008,4498
Indices,DOW JONES,01/02/1990 − 10/10/2008,4734
Indices,NASDAQ,01/02/1990 − 10/10/2008,4720
Indices,NIKKEI,01/02/1990 − 10/10/2008,4607
Indices,CAC40,01/02/1990 − 10/10/2008,4678
Indices,FTSE100,01/02/1990 − 10/10/2008,4727
Indices,S&P500,01/02/1990 − 10/10/2008,4720
Exchange rates,EURO/USD,12/31/1998 − 10/10/2008,2498
Exchange rates,GBP/USD,01/02/1990 − 10/10/2008,4777
Exchange rates,YEN/USD,01/02/1990 − 10/10/2008,4777
