Asset,Mean,Median,SD,Skewness,Kurtosis,Jarque−Béra,ADF,PP,KPSS
DAX,0.0262,0.0741,1.3733,−0.394,7.6728,4209.0,−46.91∗∗∗,−66.24∗∗∗,0.25∗∗∗
DOW JONES,0.0239,0.0476,1.009,−0.387,8.139,5327.0,−48.81∗∗∗,−68.53∗∗∗,0.39∗∗∗
NASDAQ,0.0266,0.1014,1.5784,−0.291,10.1645,10159.0,−50.12∗∗∗,−71.4∗∗∗,0.34∗∗∗
NIKKEI,−0.0317,−0.0232,1.3951,0.158,6.3244,2140.0,−38.96∗∗∗,−64.96∗∗∗,0.12∗∗∗
CAC40,0.0112,0.0591,1.464,−0.362,9.9244,9448.45,−50.22∗∗∗,−74.65∗∗∗,0.21∗∗∗
FTSE100,0.0120,0.0262,1.1053,−0.046,8.1293,5183.79,−50.55∗∗∗,−73.64∗∗∗,0.26∗∗∗
S&P500,0.0198,0.0435,1.042,−0.432,8.63,6382.04,−49.29∗∗∗,−69.68∗∗∗,0.45∗∗∗
EURO,0.0077,−0.00004,0.5905,0.013,3.8602,77.108,−35.64∗∗∗,−49.67∗∗∗,0.36∗∗∗
GBP,0.0021,0.003,0.586,−0.405,8.811,6851.96,−49.03∗∗∗,−69.21∗∗∗,0.05∗∗∗
YEN,0.0061,0.0077,0.672,−0.460,7.056,3444.92,−47.58∗∗∗,−67.38∗∗∗,0.08∗∗∗
