Horizons,Empty Cell,Indices,Indices,Indices,Indices,Indices,Indices,Indices,Exchange rate,Exchange rate,Exchange rate
Horizons,Empty Cell,DAX,Dow Jones,NASDAQ,NIKKEI,CAC40,FTSE 100,S&P 500,Euro,GBP,Yen
AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH,AR(1) – FIGARCH
1-day,MSE,0.210,0.22,19.14,1.079,2.003,10.43,2.789,0.410,0.029,0.076
1-day,MAE,0.458,0.469,4.375,1.039,0.909,3.23,1.67,0.640,0.172,0.276
1-day,TIC,0.459,0.796,0.715,0.964,0.690,0.798,0.621,0.460,0.833,0.854
5-day,MSE,1.365,0.644,4.391,3.391,1.429,2.174,0.701,0.156,0.163,0.069
5-day,MAE,0.957,0.641,1.534,1.467,0.977,0.401,0.642,0.358,0.299,0.251
5-day,TIC,0.538,0.690,0.606,0.581,0.500,0.714,0.523,0.402,0.593,0.415
15-day,MSE,0.998,0.799,2.091,1.944,1.049,0.844,0.348,0.178,0.113,0.095
15-day,MAE,0.848,0.692,1.058,1.185,0.887,0.560,0.465,0.370,0.265,0.289
15-day,TIC,0.470,0.552,0.458,0.482,0.454,0.620,0.452,0.475,0.541,0.496
AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH,AR(1) – HYGARCH
1-day,MSE,0.207,0.218,18.95,1.117,1.905,10.37,2.726,0.411,0.029,0.076
1-day,MAE,0.455,0.466,4.353,1.057,1.38,3.221,1.651,0.641,0.171,0.277
1-day,TIC,0.458,0.795,0.709,0.964,0.479,0.794,0.610,0.461,0.832,0.854
5-day,MSE,1.364,0.646,4.367,3.389,1.4,2.168,0.691,0.156,0.163,0.069
5-day,MAE,0.954,0.738,1.539,1.48,0.985,0.897,0.646,0.395,0.298,0.251
5-day,TIC,0.539,0.484,0.600,0.577,0.488,0.709,0.512,0.403,0.594,0.415
15-day,MSE,0.996,0.798,2.08,1.948,1.042,0.848,0.355,0.178,0.113,0.095
15-day,MAE,0.846,0.691,1.065,1.196,0.89,0.568,0.472,0.371,0.264,0.289
15-day,TIC,0.471,0.553,0.478,0.479,0.443,0.616,0.445,0.475,0.542,0.496
AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH,AR(1) – FIAPARCH
1-day,MSE,0.266,0.422,19.19,1.132,1.76,10.54,2.501,0.150,0.031,0.082
1-day,MAE,0.516,0.650,4.380,1.064,1.327,3.246,1.582,0.671,0.176,0.286
1-day,TIC,0.489,0.844,0.716,0.964,0.452,0.805,0.570,0.493,0.836,0.858
5-day,MSE,1.381,0.538,4.425,3.363,1.356,2.187,0.667,0.163,0.164,0.071
5-day,MAE,1.007,0.691,1.555,1.463,1.005,0.880,0.665,0.366,0.300,0.253
5-day,TIC,0.520,0.393,0.594,0.578,0.465,0.722,0.475,0.419,0.591,0.414
15-day,MSE,1.056,0.833,2.149,1.932,1.065,0.830,0.411,0.179,0.113,0.099
15-day,MAE,0.889,0.780,1.109,1.181,0.902,0.540,0.529,0.370,0.265,0.296
15-day,TIC,0.457,0.500,0.452,0.482,0.421,0.646,0.434,0.482,0.540,0.496
