Empty Cell,Short trading position,Short trading position,Short trading position,Short trading position,Short trading position,Short trading position,Short trading position,Long trading position,Long trading position,Long trading position,Long trading position,Long trading position
Empty Cell,Quantile,Failure rate,Kupiec LRT,P-value,DQT,P-value.1,Quantile.1,Failure rate,Kupiec LRT,P-value,DQT,P-value.1
Panel a.,Panel a.,Panel a.,Panel a.,Panel a.,Panel a.,Panel a.,Panel a.,Panel a.,Panel a.,Panel a.,Panel a.,Panel a.
CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40,CAC 40
15,0.95,0.965,3.892,0.046,7.068,0.419,0.05,0.071,4.916,0.025,18.26,0.011
15,0.99,0.998,6.83,0.01,5.294,0.622,0.01,0.019,6.471,0.009,18.99,0.007
5,0.95,0.952,0.541,0.455,7.529,0.371,0.05,0.056,1.614,0.201,12.77,0.075
5,0.99,0.996,3.099,0.081,2.811,0.932,0.01,0.014,0.834,0.366,11.33,0.130
1,0.95,0.965,5.268,0.021,9.717,0.205,0.05,0.066,4.918,0.026,15.16,0.033
1,0.99,0.993,1.015,0.313,2.372,0.936,0.01,0.023,12.485,0.000,33.65,0.000
Panel b.,Panel b.,Panel b.,Panel b.,Panel b.,Panel b.,Panel b.,Panel b.,Panel b.,Panel b.,Panel b.,Panel b.,Panel b.
DAX,DAX,DAX,DAX,DAX,DAX,DAX,DAX,DAX,DAX,DAX,DAX,DAX
15,0.95,0.969,7.777,0.007,10.54,0.159,0.05,0.056,0.986,0.318,8.069,0.324
15,0.99,0.999,9.629,0.003,6.694,0.461,0.01,0.019,9.284,0.005,41.6,0.002
5,0.95,0.967,7.780,0.004,10.64,0.154,0.05,0.062,1.984,0.155,8.376,0.299
5,0.99,1.000,13.478,0.001,28.25,0.001,0.01,0.018,6.470,0.009,38.91,0.000
1,0.95,0.965,5.268,0.021,10.21,0.176,0.05,0.056,0.730,0.392,7.345,0.393
1,0.99,0.998,9.626,0.001,6.694,0.461,0.01,0.014,1.437,0.230,23.84,0.001
Panel c.,Panel c.,Panel c.,Panel c.,Panel c.,Panel c.,Panel c.,Panel c.,Panel c.,Panel c.,Panel c.,Panel c.,Panel c.
Dow Jones,Dow Jones,Dow Jones,Dow Jones,Dow Jones,Dow Jones,Dow Jones,Dow Jones,Dow Jones,Dow Jones,Dow Jones,Dow Jones,Dow Jones
15,0.95,0.963,2.75,0.1,7.211,0.402,0.05,0.063,2.391,0.123,17.45,0.012
15,0.99,0.995,0.436,0.513,12.42,0.080,0.01,0.03,17.987,0.01,53.32,0.001
5,0.95,0.958,1.421,0.236,6.51,0.465,0.05,0.066,3.34,0.071,24.21,0.004
5,0.99,0.997,3.092,0.081,2.594,0.921,0.01,0.019,4.096,0.046,24.52,0.009
1,0.95,0.954,0.345,0.556,6.103,0.527,0.050,0.061,2.387,0.122,22.22,0.002
1,0.99,0.992,0.433,0.510,12.27,0.091,0.010,0.013,0.830,0.362,2.480,0.928
Panel d.,Panel d.,Panel d.,Panel d.,Panel d.,Panel d.,Panel d.,Panel d.,Panel d.,Panel d.,Panel d.,Panel d.,Panel d.
FTSE 100,FTSE 100,FTSE 100,FTSE 100,FTSE 100,FTSE 100,FTSE 100,FTSE 100,FTSE 100,FTSE 100,FTSE 100,FTSE 100,FTSE 100
15,0.95,0.969,7.778,0.004,10.49,0.161,0.05,0.058,0.99,0.319,8.076,0.323
15,0.99,0.999,9.629,0.004,6.695,0.463,0.01,0.022,9.282,0.004,41.61,0.001
5,0.95,0.969,7.776,0.005,10.59,0.153,0.05,0.064,1.988,0.160,8.377,0.299
5,0.99,0.999,13.476,0.001,28.31,0.001,0.01,0.021,6.474,0.011,38.93,0.001
1,0.95,0.965,5.268,0.021,10.21,0.176,0.05,0.056,0.730,0.392,7.345,0.393
1,0.99,0.998,9.626,0.001,6.694,0.461,0.01,0.014,1.437,0.230,23.84,0.001
Panel e.,Panel e.,Panel e.,Panel e.,Panel e.,Panel e.,Panel e.,Panel e.,Panel e.,Panel e.,Panel e.,Panel e.,Panel e.
