Empty Cell,China,Hong Kong,India,Pakistan,Sri Lanka
Pre-crisis period,Pre-crisis period,Pre-crisis period,Pre-crisis period,Pre-crisis period,Pre-crisis period
Mean,0.0439,0.0258,0.0788,0.1282,0.0989
Median,0.0000,0.0431,0.155,0.1929,0.0735
Maximum,9.4007,4.3454,7.931,6.4486,11.6123
Minimum,−9.2561,−9.2853,−11.8091,−7.7413,−13.9055
Std. Dev.,1.4214,1.1079,1.3603,1.4517,1.3641
Skewness,0.0485,−0.4062,−0.7447,−0.4429,−0.5776
Kurtosis,8.8250,7.175,9.2389,5.6869,22.5483
Jarque-Bera,2425***,1292***,2940***,571***,27402***
Observations,1715,1715,1715,1715,1715
ADF test,−40.9025***,−40.1831***,−30.0996***,−38.6451***,−28.8633***
PP test,−40.9293***,−40.1969***,−37.916***,−38.7839***,−33.2225***
Arch test,18.499***,32.2077***,377.248***,177.3767***,148.3671***
Post-crisis period,Post-crisis period,Post-crisis period,Post-crisis period,Post-crisis period,Post-crisis period
Mean,−0.0423,0.0022,0.0208,0.0365,0.0531
Median,0,0,0.0655,0.0506,0.0081
Maximum,9.0342,13.4068,15.9899,8.2546,6.2596
Minimum,−7.491,−13.582,−11.6044,−5.1348,−5.1076
Std. Dev.,1.6718,1.8111,1.636,1.2245,0.9353
Skewness,−0.1497,0.0900,0.2248,−0.298,0.2652
Kurtosis,6.5662,10.8618,11.8276,6.9266,8.0772
Jarque-Bera,893***,4313***,5449***,1100***,1817***
Observations,1674,1674,1674,1674,1674
ADF test,−40.9152***,−42.4316***,−37.6034***,−23.998***,−32.1229***
PP test,−40.9358***,−42.5088***,−37.5295***,−34.5226***,−33.8253***
Arch test,51.0890***,247.7651***,14.4882***,84.4267***,58.946***
