Coefficients,China,Hong Kong,India,Pakistan,Sri Lanka
ω0,−0.0301 (0.0336),0.0015 (0.0318),0.0007 (0.0292),0.0753*** (0.0206),0.0494*** (0.0162)
ω1,0.0047 (0.0289),−0.0563* (0.0325),0.0616** (0.0292),0.1326*** (0.0245),0.2641*** (0.0250)
ψ_China,,−0.0444* (0.0252),−0.0550*** (0.0208),−0.0058 (0.0137),−0.0037 (0.0103)
ψ_Hong Kong,−0.0696** (0.0302),,0.0382 (0.0256),0.0171* (0.0099),0.0106 (0.0129)
ψ_India,0.1297*** (0.0281),0.2090*** (0.0273),,0.0044 (0.0146),−0.0096 (0.0121)
ψ_Pakistan,0.0371 (0.0322),0.0111 (0.0293),0.0015 (0.0254),,−0.0237* (0.0129)
ψ_Sri Lanka,0.0770* (0.0402),0.0527* (0.0279),−0.0127 (0.0246),0.0052 (0.0221),
γ0,−0.0525*** (0.0070),−0.0899*** (0.0118),−0.1253*** (0.0116),−0.2051*** (0.0172),−0.3306*** (0.0232)
γ1,0.0767*** (0.0099),0.1258*** (0.0163),0.1718*** (0.0153),0.2729*** (0.0240),0.3790*** (0.0266)
φ,−0.0180** (0.0070),−0.0564*** (0.0142),−0.0939*** (0.0166),−0.1788*** (0.0175),−0.0642*** (0.0160)
γ2,0.9942*** (0.0020),0.9885*** (0.0026),0.9903*** (0.0030),0.9347*** (0.0069),0.9106*** (0.0121)
δ_China,,0.0068 (0.0085),0.0164* (0.0089),0.0153* (0.0089),0.0362*** (0.0100)
δ_Hong Kong,−0.0172* (0.0094),,−0.0038 (0.0091),−0.0126 (0.0130),−0.0761*** (0.0127)
δ_India,−0.0022 (0.0105),−0.0236*** (0.0084),,0.0644*** (0.0131),0.0607*** (0.0075)
δ_Pakistan,0.0091 (0.0065),0.0075 (0.0080),0.0032 (0.0068),,−0.0400*** (0.0135)
δ_Sri Lanka,0.0071 (0.0068),−0.0081 (0.0104),0.0311*** (0.0071),−0.0305* (0.0169),
