Empty Cell,Intercept,Mean λ,rs(%),R2(%)
Panel A (σt1),Panel A (σt1),Panel A (σt1),Panel A (σt1),Panel A (σt1)
λ0 in Black3,2.772***,−0.655***,−11.021**,1.59
,[8.398],[4.127],[2.768],
λ0 in Christie4,−0.047***,−0.584***,−2.293,7.89
,[10.006],[9.615],[0.572],
λ1 in Duffee2,−2.371***,0.850***,1.973,11.35
,[95.953],[13.307],[0.493],
λ2 in Duffee2,−2.417***,0.266***,−0.280,6.12
,[99.432],[5.625],[0.070],
Panel B (σt2),Panel B (σt2),Panel B (σt2),Panel B (σt2),Panel B (σt2)
λ0 in Black3,1.475***,−0.822***,−3.328,2.60
,[11.739],[2.634],[0.759],
λ0 in Christie4,0.031***,−0.440***,−0.511,6.76
,[4.799],[5.657],[0.116],
λ1 in Duffee2,−2.486***,0.887***,−0.893,12.44
,[106.062],[9.155],[0.204],
λ2 in Duffee2,−2.455***,0.447***,−1.829,6.91
,[104.714],[6.460],[0.417],
