Classification name,Daily simple returns,Daily simple returns,Daily simple returns,Daily simple returns,Daily simple returns,Daily simple returns,Daily simple returns,Daily simple returns,Daily log-returns,Daily log-returns,Daily log-returns,Daily log-returns,Daily log-returns,Daily log-returns,Daily log-returns
Classification name,N,MEAN,STD,SKEW,KURT,MIN,MEDI,MAX,MEAN,STD,SKEW,KURT,MIN,MEDI,MAX
Agriculture,257,0.7833,6.25,9.32,87.73,−0.36,0.0018,65.46,0.0136,0.16,1.84,18.91,−0.84,0.0004,1.14
Mining,130,0.6566,6.09,11.22,127.07,−0.53,0.0066,69.16,0.0011,0.43,−0.95,15.25,−2.65,0.0057,1.79
Manufacturing,531,0.5335,5.16,17.84,345.13,−0.89,0.0368,105.91,0.0042,0.26,−0.97,19.46,−2.20,0.0076,1.73
Electricity,216,0.0267,0.15,5.05,37.98,−0.38,0.0057,1.39,0.0134,0.12,−0.06,19.08,−0.70,0.0057,0.67
Architecture,311,0.1865,2.2,16.99,295.17,−0.58,0.0060,38.29,0.0068,0.11,−0.29,27.35,−0.87,0.0040,0.87
Wholesale and Retail,251,0.0466,0.21,6.16,53.57,−0.37,0.0054,2.13,0.0067,0.11,−0.40,5.29,−0.47,0.0025,0.47
Transportation,130,2.3661,18.98,8.45,72.81,−0.67,0.0104,181.13,0.0199,0.23,−0.45,14.57,−1.21,0.0098,1.11
Lodging and Restaurant,59,0.0199,0.34,4.98,33.85,−0.67,−0.0077,2.24,−0.0154,0.26,0.25,12.91,−1.11,−0.0077,1.18
Information Transmission,505,0.2369,1.36,11.8,165.42,−0.90,0.0368,21.7,−0.0008,0.34,−2.11,16.73,−2.30,0.0134,1.43
Finance,279,0.5127,4.31,10.67,117.27,−0.98,0.0106,49.3,0.0056,0.44,−0.74,49.26,−4.03,0.0047,3.91
Real Estate,109,0.0432,0.31,6.94,51.12,−0.22,−0.0007,2.6,0.0154,0.16,5.63,41.36,−0.33,−0.0010,1.28
Rent and Business,262,0.5011,4.12,10.38,110.67,−0.95,0.0139,46.77,0.0120,0.3,−3.17,53.4,−3.08,0.0087,1.83
ScientifiResearch,288,0.223,1.11,8.43,83.98,−0.90,0.0165,13.28,0.0267,0.32,−0.04,29.67,−2.28,0.0102,2.28
"Water, Environment",219,1.6196,22.55,14.77,218.46,−0.47,0.0058,333.64,0.0186,0.18,0.94,30.61,−1.30,0.0055,1.47
Education,229,0.0138,0.09,8.73,105.77,−0.27,0.0016,1.18,0.0107,0.07,5.50,58.39,−0.31,0.0016,0.78
Health and Social Work,101,0.0845,0.56,4.67,24.39,−0.65,−0.0083,3.74,−0.0093,0.3,0.75,10.19,−1.06,−0.0086,1.56
"Culture, Sports",259,0.4333,5.31,15.65,248.9,−0.42,0.0031,84.79,0.0041,0.18,−0.18,15.49,−1.05,0.0031,0.99
,589,0.4029,3.02,18.96,402.92,−0.89,0.0597,66.69,0.0031,0.26,−2.06,22.65,−2.18,0.0125,1.64
