Date (Up to),Number of listed companies,Number of listed companies,Number of listed companies,Total shares (100 million units),Total shares (100 million units),Total shares (100 million units),Floating shares (100 million units),Floating shares (100 million units),Floating shares (100 million units)
Date (Up to),Sum,Market making,Negotiating,Sum,Market making,Negotiating,Sum,Market making,Negotiating
By year,By year,By year,By year,By year,By year,By year,By year,By year,By year
2015-08-31,3359,759,2600,1735,548,1187,642,259,383
2014-12-31,1572,122,1450,658,62,597,237,28,209
2013-12-31,356,,,97,,,,,
2012-12-31,200,,,55,,,,,
By month,By month,By month,By month,By month,By month,By month,By month,By month,By month
2015-08-31,3359,759,2600,1735,548,1187,642,259,383
2015-07-31,3052,663,2389,1540,466,1075,573,214,359
2015-06-30,2637,523,2114,1277,389,888,477,183,294
2015-05-29,2487,380,2107,1156,205,951,409,93,316
2015-04-30,2343,278,2065,1059,149,909,372,66,306
2015-03-31,2150,222,1928,919,120,799,329,53,276
2015-02-27,1994,166,1828,834,84,749,299,37,262
2015-01-30,1864,146,1718,766,74,692,269,33,236
2014-12-31,1572,122,1450,658,62,597,237,28,209
2014-11-28,1354,74,1280,571,38,532,196,18,178
2014-10-31,1232,58,1174,514,28,486,182,14,168
