Empty Cell,Intercept,Mean λ,rs(%),R2(%)
Panel A (σt1),Panel A (σt1),Panel A (σt1),Panel A (σt1),Panel A (σt1)
λ0 in Black3,2.221***,−0.826***,−16.534**,0.89
,[10.257],[4.342],[3.078],
λ0 in Christie4,−0.025***,−0.663***,−2.470,5.85
,[6.050],[9.476],[0.454],
λ1 in Duffee2,−2.453***,0.932***,0.611,7.81
,[89.675],[13.656],[0.112],
λ2 in Duffee2,−2.478***,0.269***,−2.326,3.95
,[92.708],[4.783],[0.427],
Panel B (σt2),Panel B (σt2),Panel B (σt2),Panel B (σt2),Panel B (σt2)
λ0 in Black3,1.346***,−0.926***,−18.442**,1.21
,[14.622],[6.996],[2.889],
λ0 in Christie4,0.029***,−0.664***,4.048,4.25
,[4.801],[7.904],[0.624],
λ1 in Duffee2,−2.597***,1.293***,−6.389,9.03
,[95.561],[14.036],[0.986],
λ2 in Duffee2,−2.568***,0.629***,−3.269,4.64
,[94.562],[8.274],[0.504],
