#London Elects,Pre election-May 4,Pre election-May 4,Election-May 5,Election-May 5,Post election-May 6,Post election-May 6,Post election-May 7,Post election-May 7,Post election-May 8,Post election-May 8,Post election-May 9,Post election-May 9
#London Elects,Sum tweets,% of total,Sum tweets,% of total,Sum tweets,% of total,Sum tweets,% of total,Sum tweets,% of total,Sum tweets,% of total
Positive,13,18,53,14,4799,30,2422,17,418,24,126,31
Negative,10,14,53,14,2559,16,2422,17,522,30,59,14
Neutral,48,86,265,72,8637,54,9405,66,801,46,214,55
Total,71,100,371,100,15995,100,14249,100,1741,100,399,100
#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election,#Mayoral election
Positive,59,12,255,16,111,20,26,17,3,9,1,3
Negative,70,14,186,11,98,18,13,8,2,6,1,3
Neutral,352,74,1188,73,321,62,109,75,27,86,28,94
Total,481,100,1629,100,530,100,148,100,32,100,30,100
#Polling day,#Polling day,#Polling day,#Polling day,#Polling day,#Polling day,#Polling day,#Polling day,#Polling day,#Polling day,#Polling day,#Polling day,#Polling day
Positive,8,19,4525,19,190,18,30,17,14,13,11,16
Negative,2,4,2620,11,68,6,12,6,11,10,4,6
Neutral,32,77,16672,70,812,76,130,77,77,77,50,78
Total,42,100,23817,100,1070,100,172,100,102,100,65,100
#London elects,#London elects,#London elects,#London elects,#London elects,#London elects,#London elects,#London elects,#London elects,#London elects,#London elects,#London elects,#London elects
Sum positive,80,13.5%,4833,18.7%,5100,29.0%,2478,17.0%,435,23.2%,138,27.9%
Sum negative,82,13.8%,2859,11.1%,2725,15.5%,2447,16.8%,535,28.5%,46,13.0%
Sum neutral,432,72.7%,18125,70.2%,9770,55.5%,9644,66.2%,905,48.3%,292,59.1%
Sum total,594,100.0%,25817,100.0%,17595,100.0%,14569,100.0%,1875,100.0%,494,100.0%
Sum MOOD,−0.00337,−0.00337,0.07646,0.07646,0.13498,0.13498,0.00213,0.00213,−0.05333,−0.05333,0.14980,0.14980
