Particulars,2013/14,2014/15,2015/16
Share in total export,Share in total export,Share in total export,Share in total export
India,64.8,65.5,56.3
China,3.1,2.6,2.4
Other countries,32.1,31.9,41.3
Share in total import,Share in total import,Share in total import,Share in total import
India,66.9,63.5,61.7
China,10.3,12.9,15.0
Other countries,22.8,23.6,23.4
Share in total trade,Share in total trade,Share in total trade,Share in total trade
India,66.7,63.7,61.2
China,9.4,11.9,13.9
Other countries,23.9,24.4,24.8
