Year,2012,2013,2014,2015,2016
GDP (USD billion),18.8,19.3,20.0,21.4,21.1
"GDP growth (Basic Price, %)",4.61,3.76,5.72,2.97,0.01
Inflation (%),8.3,9.9,9.1,7.2,9.9
Import/GDP ratio,30.0,32.8,36.4,36.4,34.4
Export/GDP ratio,4.9,4.5,4.7,4.0,3.1
Remittance/GDP,23.5,25.6,27.7,29.0,29.6
Balance of Payment (USD billions),1.62,0.78,1.29,1.46,1.78
Forex Reserves (USD billions),5.42,6.06,6.77,8.28,9.77
Import Coverage of Forex Reserves (months),10.3,8.7,10.0,11.2,14.1
"Exchange Rate (Rs. per 1 USD, annual average)",81.02,87.96,98.25,99.49,106.35
