0,1
Category A: General company information,Category A: General company information
1.,Brief narrative history of the company.
2.,General description of business activities.
3.,Web-address of the company/email address.
4.,The production capacity of the company.
5.,Information about the expansion program.
6.,Date of the establishment.
7.,Statement of main customers.
,
Category B: Corporate strategy,Category B: Corporate strategy
8.,A statement of management objectives and strategy.
9.,Procedures took to achieve the objectives and strategy of the company.
10.,Statement of strategy and marketing objectives.
11.,The impact of the strategy on the performance of the company.
,
Category C: Future information,Category C: Future information
12.,Forecasts of profit.
13.,Forecasts of sales.
14.,Forecasts of cash flow.
,
Category D: Financial performance,Category D: Financial performance
15.,Brief discussion and analysis of a company's financial position.
16.,Return on equity.
17.,Dividend per share.
18.,Dividend distribution policy.
19.,Profitability rate.
20.,Return on assets.
21.,Percentage of cost of sales to sales.
22.,Sales growth rate.
23.,The rate of return on sales.
,
Category E: Shares information,Category E: Shares information
24.,Number of shares.
25.,The market value of the shares at the end of the year.
26.,The market value of shares.
,
Category F: Accounting policy review,Category F: Accounting policy review
27.,Discussion on accounting policy.
28.,Disclosure of accounting standards uses for its accounts.
29.,Use of fair value.
30.,Discussion on accounting policies used in accounting for intangible assets.
,
Category G: Non-financial indicators,Category G: Non-financial indicators
31.,Discussion on Current year results with results of past years.
32.,Explain change in sales.
33.,Discussion on product development.
34.,Performance statement.
35.,Effect of currency fluctuations.
36.,Information on risk management.
,
Category H: Human resources,Category H: Human resources
37.,A number of employees.
38.,The average income of employees.
39.,Health & safety of employees.
40.,Incentives level.
41.,Employment of disabled.
42.,Employee training.
43.,Budget allocated for training.
44.,Scholarships.
45.,Offering internship program.
46.,Women empowerment.
47.,Human capital.
,
Category I: Community involvement/participation,Category I: Community involvement/participation
48.,Donations to the community.
49.,Contribution to the national sports.
50.,Work to reduce unemployment problem.
51.,Government support projects.
,
Category J: Environmental issues,Category J: Environmental issues
52.,Environment expenditure.
53.,Pollution Abatement.
54.,Recycling programs.
55.,Obtaining ISO Certificate
,
Category K: Information on corporate governance,Category K: Information on corporate governance
56.,Top shareholders' Names
57.,Names of Board of Directors
58.,Leading positions of members in other companies
59.,Educational qualifications of Board members
60.,The practical experience of the members of the Board of Directors
61.,A number of shares held by directors.
62.,Directors' remuneration.
63.,A number of Board meetings.
,
Category L: Research and development costs,Category L: Research and development costs
64.,Research and Development Policy.
65.,A number of employees in research and development.
66.,The budget for research and development.
67.,Research and development projects.
,
Category M: Other information,Category M: Other information
68.,Segmental reports.
69.,Graphs.
