Name of the Bank,Ownership,Group,Name of the Bank.1,Ownership.1,Group.1,Name of the Bank.2,Ownership.2,Group.2
Allahabad Bank,Public,1,Axis Bank,Private,2,Abu Dhabi Commercial Bank,Foreign,3
Andhra Bank,Public,1,Bandhan Bank,Private,2,American Express Bank,Foreign,3
Bank of Baroda,Public,1,Capital Small Finance Bank,Private,2,Australia & New Zealand Banking Group,Foreign,3
Bank of India,Public,1,Catholic Syrian Bank,Private,2,Bank of America,Foreign,3
Bank of Maharashtra,Public,1,City Union Bank,Private,2,Bank of Bahrain & Kuwait,Foreign,3
Canara Bank,Public,1,DCB Bank,Private,2,Bank of Nova Scotia,Foreign,3
Central Bank of India,Public,1,Dhanlaxmi Bank,Private,2,Bank of Tokyo-Mitsubishi,Foreign,3
Corporation Bank,Public,1,Federal Bank,Private,2,Barclays Bank,Foreign,3
Dena Bank,Public,1,HDFC Bank,Private,2,BNP Paribas,Foreign,3
IDBI Bank,Public,1,ICICI Bank,Private,2,Citibank,Foreign,3
Indian Bank,Public,1,IDFC Bank,Private,2,Credit Agricole Corporate & Investment Bank,Foreign,3
Indian Overseas Bank,Public,1,IndusInd Bank,Private,2,Credit Suisse AG,Foreign,3
Jammu and Kashmir Bank,Public,1,Karnataka Bank,Private,2,Deutsche Bank,Foreign,3
Oriental Bank of Commerce,Public,1,Karur Vysya Bank,Private,2,Doha Bank QFA,Foreign,3
Punjab & Sind Bank,Public,1,Kotak Mahindra Bank,Private,2,Hongkong & Shanghai Banking Corporation,Foreign,3
Punjab National Bank,Public,1,Lakshmi Vilas Bank,Private,2,J P Morgan Chase Bank,Foreign,3
State Bank of India,Public,1,Nainital Bank,Private,2,Mizuho Corporate Bank,Foreign,3
Syndicate Bank,Public,1,RBL Bank,Private,2,Rabobank International,Foreign,3
UCO Bank,Public,1,South Indian Bank,Private,2,Shinhan Bank,Foreign,3
Union Bank of India,Public,1,Tamilnad Mercantile Bank,Private,2,Societe Generale,Foreign,3
United Bank of India,Public,1,Yes Bank,Private,2,Standard Chartered Bank,Foreign,3
Vijaya Bank,Public,1,,,,United Overseas Bank,Foreign,3
,,,,,,Woori Bank,Foreign,3
Ng=1=22,Ng=1=22,Ng=1=22,Ng=2=21,Ng=2=21,Ng=2=21,Ng=3=23,Ng=3=23,Ng=3=23
N=∑g=1HNg=66,N=∑g=1HNg=66,N=∑g=1HNg=66,N=∑g=1HNg=66,N=∑g=1HNg=66,N=∑g=1HNg=66,N=∑g=1HNg=66,N=∑g=1HNg=66,N=∑g=1HNg=66
