Bank ↓/β Values →,Meta-frontier,Meta-frontier,Group-frontier,Group-frontier,Bank ↓/β Values →,Meta-frontier,Meta-frontier,Group-frontier,Group-frontier,Bank ↓/β Values →,Meta-frontier,Meta-frontier,Group-frontier,Group-frontier
Bank ↓/β Values →,OTE,PTE,OTE,PTE,Bank ↓/β Values →.1,OTE.1,PTE.1,OTE.1,PTE.1,Bank ↓/β Values →.2,OTE.2,PTE.2,OTE.2,PTE.2
Allahabad Bank,0.328,0.141,0.04,0.0,Axis Bank,0.172,0.086,0.0,0.0,Abu Dhabi Commercial Bank,0.413,0.407,0.413,0.404
Andhra Bank,0.282,0.091,0.0,0.0,Bandhan Bank,0.24,0.0,0.0,0.0,American Express Bank,0.0,0.0,0.0,0.0
Bank of Baroda,0.365,0.262,0.067,0.024,Capital Small Finance Bank,0.394,0.079,0.214,0.037,Australia & New Zealand Banking Group,0.161,0.14,0.161,0.14
Bank of India,0.367,0.26,0.111,0.072,Catholic Syrian Bank,0.485,0.319,0.349,0.293,Bank of America,0.12,0.0,0.12,0.0
Bank of Maharashtra,0.334,0.203,0.072,0.062,City Union Bank,0.264,0.078,0.102,0.042,Bank of Bahrain & Kuwait,0.267,0.255,0.267,0.0
Canara Bank,0.391,0.24,0.046,0.007,DCB Bank,0.291,0.214,0.117,0.11,Bank of Nova Scotia,0.068,0.066,0.068,0.064
Central Bank of India,0.438,0.308,0.134,0.0,Dhanlaxmi Bank,0.46,0.353,0.31,0.306,Bank of Tokyo-Mitsubishi,0.135,0.135,0.135,0.134
Corporation Bank,0.315,0.135,0.0,0.0,Federal Bank,0.365,0.237,0.193,0.17,Barclays Bank,0.124,0.0,0.124,0.0
Dena Bank,0.447,0.308,0.207,0.16,HDFC Bank,0.182,0.104,0.0,0.0,BNP Paribas,0.263,0.263,0.263,0.263
IDBI Bank,0.383,0.268,0.0,0.0,ICICI Bank,0.157,0.116,0.0,0.0,Citibank,0.094,0.035,0.094,0.035
Indian Bank,0.368,0.225,0.06,0.046,IDFC Bank,0.347,0.32,0.203,0.0,Credit Agricole Corporate & Investment Bank,0.126,0.12,0.126,0.116
Indian Overseas Bank,0.424,0.335,0.13,0.088,IndusInd Bank,0.157,0.113,0.0,0.0,Credit Suisse AG,0.0,0.0,0.0,0.0
Jammu and Kashmir Bank,0.285,0.185,0.0,0.0,Karnataka Bank,0.328,0.159,0.18,0.135,Deutsche Bank,0.153,0.118,0.153,0.118
Oriental Bank of Commerce,0.331,0.213,0.05,0.02,Karur Vysya Bank,0.289,0.158,0.132,0.099,Doha Bank QFA,0.276,0.256,0.276,0.0
Punjab & Sind Bank,0.341,0.151,0.079,0.026,Kotak Mahindra Bank,0.28,0.242,0.057,0.035,Hongkong & Shanghai Banking Corporation,0.195,0.194,0.195,0.194
Punjab National Bank,0.341,0.219,0.027,0.012,Lakshmi Vilas Bank,0.372,0.176,0.236,0.17,J P Morgan Chase Bank,0.0,0.0,0.0,0.0
State Bank of India,0.334,0.246,0.0,0.0,Nainital Bank,0.358,0.0,0.0,0.0,Mizuho Corporate Bank,0.071,0.07,0.071,0.069
Syndicate Bank,0.376,0.209,0.069,0.024,RBL Bank,0.352,0.319,0.176,0.04,Rabobank International,0.164,0.092,0.164,0.092
UCO Bank,0.311,0.116,0.022,0.0,South Indian Bank,0.38,0.238,0.243,0.199,Shinhan Bank,0.168,0.151,0.168,0.0
Union Bank of India,0.37,0.241,0.049,0.048,Tamilnad Mercantile Bank,0.294,0.143,0.112,0.081,Societe Generale,0.259,0.253,0.259,0.253
United Bank of India,0.432,0.326,0.047,0.0,Yes Bank,0.237,0.0,0.0,0.0,Standard Chartered Bank,0.108,0.107,0.108,0.105
Vijaya Bank,0.372,0.172,0.116,0.0,,,,,,United Overseas Bank,0.0,0.0,0.0,0.0
,,,,,,,,,,Woori Bank,0.032,0.013,0.032,0.0
