Parameter,CDS1,CDS5,CDSX,CDS1.1,CDS5.1,CDSX.1
RO_CutOff × (200707–200712),0.307,0.157,0.101,0.296,0.153,0.099
RO_CutOff × (200707–200712),[3.31],[2.45],[2.08],[2.90],[2.21],[1.96]
RO_CutOff × (200801–200806),0.324,0.195,0.117,0.374,0.216,0.125
RO_CutOff × (200801–200806),[2.27],[2.27],[1.59],[2.42],[2.33],[1.62]
RO_CutOff × (200807–200812),0.494,0.374,0.314,0.490,0.370,0.312
RO_CutOff × (200807–200812),[4.18],[4.35],[4.03],[4.02],[4.15],[3.91]
RO_CutOff × (200901–200906),0.262,0.170,0.132,0.192,0.120,0.095
RO_CutOff × (200901–200906),[3.05],[2.39],[1.95],[2.00],[1.52],[1.30]
RO_CutOff × (200907–200912),0.125,0.092,0.100,0.141,0.101,0.105
RO_CutOff × (200907–200912),[1.12],[1.05],[1.27],[1.23],[1.11],[1.30]
Vol × (200707–200712),0.542,0.098,0.071,,,
Vol × (200707–200712),[1.52],[0.42],[0.37],,,
Vol × (200801–200806),−0.555,−0.589,−0.291,,,
Vol × (200801–200806),[−1.83],[−2.74],[−1.55],,,
Vol × (200807–200812),−0.976,−0.733,−0.332,,,
Vol × (200807–200812),[−3.55],[−3.48],[−1.77],,,
Vol × (200901–200906),−1.26,−0.922,−0.476,,,
Vol × (200901–200906),[−4.73],[−4.38],[−2.51],,,
Vol × (200907–200912),−1.01,−0.635,−0.219,,,
Vol × (200907–200912),[−3.08],[−2.49],[−0.91],,,
Leverage × (200707–200712),,,,−0.345,−0.091,0.016
Leverage × (200707–200712),,,,[−1.54],[−0.59],[0.13]
Leverage × (200801–200806),,,,−0.795,−0.495,−0.211
Leverage × (200801–200806),,,,[−2.99],[−2.77],[−1.46]
Leverage × (200807–200812),,,,−1.07,−0.691,−0.371
Leverage × (200807–200812),,,,[−3.73],[−3.35],[−2.06]
Leverage × (200901–200906),,,,−1.31,−0.905,−0.561
Leverage × (200901–200906),,,,[−5.01],[−4.28],[−2.77]
Leverage × (200907–200912),,,,−0.590,−0.322,−0.078
Leverage × (200907–200912),,,,[−2.40],[−1.67],[−0.42]
RO_CutOff,−0.069,−0.054,−0.045,−0.060,−0.049,−0.042
RO_CutOff,[−1.40],[−1.53],[−1.41],[−1.21],[−1.35],[−1.32]
Vol,2.017,1.501,1.103,1.074,0.800,0.776
Vol,[7.71],[7.29],[6.03],[8.45],[8.00],[9.42]
Leverage,0.787,0.675,0.587,1.245,0.959,0.725
Leverage,[2.25],[2.57],[2.54],[3.33],[3.40],[2.95]
Other Controls,omitted,omitted,omitted,omitted,omitted,omitted
NOBS,18644,18644,18644,18644,18644,18644
R2,0.891,0.906,0.891,0.890,0.905,0.891
Firm FE,YES,YES,YES,YES,YES,YES
Month FE,YES,YES,YES,YES,YES,YES
