Empty Cell,1-Y Bonds,1-Y Bonds,5-Y Bonds,5-Y Bonds,10-Y Bonds,10-Y Bonds
Empty Cell,Mean,Std,Mean,Std,Mean,Std
RO,0.08,0.1,0.07,0.09,0.08,0.1
Spreads,4.83,1.04,5.13,0.91,5.18,0.74
Ret,0.13,1.03,0.14,1.05,0.11,0.97
Vol,0.35,0.29,0.35,0.29,0.34,0.28
Leverage,0.28,0.16,0.3,0.17,0.28,0.14
Profitability,0.13,0.08,0.13,0.08,0.13,0.07
Size,9.55,1.38,9.39,1.4,9.67,1.4
BM,0.48,0.61,0.49,0.6,0.48,0.5
Rating,3.78,1.01,3.95,1.12,3.72,0.97
Coupon (%),6.17,1.56,6.42,1.56,6.25,1.18
Age,5.69,3.07,3.95,2.75,3.39,4.51
YTM,1.81,1.07,5.17,1.21,10.14,2.45
# Obs,# Obs,12785.0,,15314.0,,9927.0
# Firms,# Firms,415.0,,449.0,,343.0
# Firms (RO >20%) 2008,# Firms (RO >20%) 2008,39.0,,39.0,,29.0
# Firms (RO >20%) 2009,# Firms (RO >20%) 2009,34.0,,28.0,,23.0
