Year,#Obs,#Firms,#Firms RO > 20%,#Firms wCDS,RO,σRV,σIV,MktLev,SCDSRV,SCDSIV,CDS1,SCDSRV (log),SCDSIV (log),CDS1 (log)
2004,7701,610,53,65.0,0.07,0.30,0.33,0.30,17.88,19.08,37.65,0.50,0.58,2.85
2004,7701,610,53,65.0,(0.10),(0.18),(0.16),(0.20),(149.4),(142.6),(67.55),(1.33),(1.42),(1.17)
2005,8137,676,68,172.0,0.07,0.28,0.32,0.28,9.95,11.27,35.13,0.35,0.48,2.67
2005,8137,676,68,172.0,(0.10),(0.15),(0.15),(0.19),(71.39),(57.75),(112.1),(1.11),(1.28),(1.09)
2006,8152,670,62,227.0,0.07,0.29,0.33,0.28,10.44,13.85,26.16,0.37,0.50,2.43
2006,8152,670,62,,(0.11),(0.17),(0.15),(0.19),(85.05),(74.49),(68.47),(1.12),(1.32),(1.10)
2007,8657,713,74,248.0,0.07,0.32,0.35,0.28,24.24,29.31,41.02,0.55,0.66,2.68
2007,8657,713,74,,(0.11),(0.20),(0.18),(0.20),(137.3),(147.3),(120.1),(1.45),(1.59),(1.24)
2008,8540,710,62,246.0,0.06,0.64,0.58,0.35,254.3,192.4,230.5,2.68,2.54,4.41
2008,8540,710,62,,(0.10),(0.48),(0.32),(0.23),(498.3),(397.5),(515.9),(2.82),(2.68),(1.34)
2009,6206,697,59,254.0,0.06,0.61,0.61,0.42,262.0,243.6,376.4,3.00,3.16,5.02
2009,6206,697,59,,(0.09),(0.40),(0.30),(0.23),(468.1),(420.1),(867.1),(2.79),(2.69),(1.26)
