Empty Cell,1Y,5Y,10Y,1Y.1,5Y.1,10Y.1
RO_CutOff × (200707–200712),,,,0.114,0.095,0.042
RO_CutOff × (200707–200712),,,,[2.30],[2.79],[1.11]
RO_CutOff × (200801–200806),,,,0.091,0.133,0.085
RO_CutOff × (200801–200806),,,,[1.69],[3.00],[1.67]
RO_CutOff × (200807–200812),,,,0.185,0.160,0.058
RO_CutOff × (200807–200812),,,,[2.22],[2.66],[1.02]
RO_CutOff × (200901–200906),,,,−0.019,0.016,−0.021
RO_CutOff × (200901–200906),,,,[−0.29],[0.27],[−0.54]
RO_CutOff × (200907–200912),,,,0.026,0.058,0.072
RO_CutOff × (200907–200912),,,,[0.32],[0.72],[1.29]
RO_CutOff,0.051,0.009,−0.012,0.020,−0.029,−0.032
RO_CutOff,[2.21],[0.47],[−0.64],[0.78],[−1.56],[−1.58]
Ret,−0.020,−0.019,−0.011,−0.020,−0.019,−0.011
Ret,[−3.07],[−4.08],[−1.97],[−2.97],[−4.08],[−1.93]
Vol,0.518,0.405,0.387,0.512,0.401,0.386
Vol,[7.75],[9.69],[8.85],[7.74],[9.58],[8.78]
Profitability,−0.917,−0.758,−1.01,−0.905,−0.761,−1.02
Profitability,[−3.09],[−3.05],[−3.77],[−3.11],[−3.08],[−3.82]
Size,−0.079,−0.022,−0.066,−0.079,−0.022,−0.068
Size,[−1.55],[−0.57],[−2.23],[−1.57],[−0.56],[−2.29]
BM,0.059,0.060,0.064,0.060,0.060,0.063
BM,[1.30],[2.15],[2.53],[1.33],[2.16],[2.55]
Leverage,0.112,0.354,0.525,0.105,0.351,0.529
Leverage,[0.58],[2.45],[3.72],[0.55],[2.46],[3.77]
Coupon,0.012,0.047,0.072,0.012,0.046,0.072
Coupon,[1.06],[4.53],[7.51],[1.00],[4.44],[7.35]
AGE,0.020,0.008,0.003,0.020,0.008,0.003
AGE,[4.59],[1.86],[1.17],[4.66],[1.89],[1.14]
YTM,0.077,0.044,0.018,0.078,0.044,0.018
YTM,[7.45],[7.17],[4.46],[7.54],[7.13],[4.47]
Rating,0.211,0.188,0.154,0.212,0.188,0.154
Rating,[6.26],[8.07],[6.86],[6.25],[8.09],[6.82]
NOBS,12785,15314,9927,12785,15314,9927
R2,0.913,0.945,0.947,0.913,0.945,0.947
Firm FE,YES,YES,YES,YES,YES,YES
Month FE,YES,YES,YES,YES,YES,YES
