Parameter,σRV,SCDSRV,σIV,SCDSIV
RO_CutOff × (200707–200712),0.060,0.563,0.049,0.640
RO_CutOff × (200707–200712),[2.36],[2.17],[2.38],[2.32]
RO_CutOff × (200801–200806),0.116,1.019,0.088,1.043
RO_CutOff × (200801–200806),[2.57],[2.42],[2.51],[2.48]
RO_CutOff × (200807–200812),0.114,0.738,0.109,0.919
RO_CutOff × (200807–200812),[1.77],[2.19],[2.55],[2.55]
RO_CutOff × (200901–200906),0.145,0.502,0.091,0.623
RO_CutOff × (200901–200906),[1.68],[0.97],[1.48],[1.24]
RO_CutOff × (200907–200912)−0.023,0.333,0.050,0.523,
RO_CutOff × (200907–200912)−0.023,[0.71],[0.71],[1.51],[1.09]
RO_CutOff,−0.006,−0.005,−0.001,−0.047
RO_CutOff,[−0.40],[−0.04],[−0.08],[−0.38]
Profitability,−0.265,−2.35,−0.253,−2.59
Profitability,[−2.78],[−3.06],[−3.09],[−3.28]
Size,−0.005,0.068,−0.006,0.094
Size,[−1.31],[2.19],[−1.67],[2.84]
BM,−0.001,−0.001,−0.001,−0.001
BM,[−0.31],[−0.05],[−0.18],[−0.36]
Rating,0.063,0.520,0.068,0.639
Rating,[6.93],[7.16],[8.80],[7.77]
NOBS,37884,37884,37884,37884
R2,0.554,0.557,0.629,0.549
Month FE,YES,YES,YES,YES
Firm FE,YES,YES,YES,YES
