Parameter,CDS1,CDS5,CDSX,CDS1.1,CDS5.1,CDSX.1
RO_CutOff × (200707–200712),,,,0.307,0.160,0.102
RO_CutOff × (200707–200712),,,,[3.00],[2.31],[2.02]
RO_CutOff × (200801–200806),,,,0.394,0.228,0.132
RO_CutOff × (200801–200806),,,,[2.56],[2.46],[1.71]
RO_CutOff × (200807–200812),,,,0.516,0.387,0.322
RO_CutOff × (200807–200812),,,,[4.25],[4.34],[4.04]
RO_CutOff × (200901–200906),,,,0.263,0.171,0.127
RO_CutOff × (200901–200906),,,,[2.91],[2.24],[1.79]
RO_CutOff × (200907–200912),,,,0.160,0.110,0.106
RO_CutOff × (200907–200912),,,,[1.39],[1.22],[1.32]
RO_CutOff,0.048,0.020,0.011,−0.070,−0.055,−0.044
RO_CutOff,[1.04],[0.61],[0.37],[−1.40],[−1.50],[−1.40]
Ret,−0.140,−0.107,−0.092,−0.137,−0.106,−0.091
Ret,[−5.51],[−6.29],[−6.67],[−5.54],[−6.37],[−6.76]
Vol,1.039,0.776,0.765,1.013,0.757,0.750
Vol,[7.77],[7.36],[8.79],[7.91],[7.47],[8.95]
Leverage,0.762,0.660,0.580,0.745,0.652,0.575
Leverage,[2.07],[2.41],[2.47],[2.08],[2.42],[2.47]
Profitability,−1.01,−0.211,−0.088,−0.984,−0.197,−0.081
Profitability,[−2.15],[−0.62],[−0.30],[−2.24],[−0.61],[−0.29]
Size,0.160,0.201,0.156,0.160,0.201,0.156
Size,[1.88],[3.14],[2.73],[1.91],[3.15],[2.74]
BM,0.081,0.051,0.048,0.082,0.052,0.049
BM,[2.16],[1.81],[2.00],[2.29],[1.92],[2.10]
Rating,0.368,0.352,0.306,0.367,0.352,0.306
Rating,[8.08],[10.15],[9.81],[8.03],[10.03],[9.66]
NOBS,18644,18644,18644,18644,18644,18644
R2,0.887,0.903,0.890,0.888,0.904,0.890
Firm FE,YES,YES,YES,YES,YES,YES
Month FE,YES,YES,YES,YES,YES,YES
