Type,ISIN,Coupon,Issue date,Maturity date,Term,First quote,N obs.
BTAN,FR0113087466,3.75,1/22/2008,1/12/2013,4.97,1/14/2008,1304
OAT,FR0010604983,4.0,4/8/2008,4/25/2018,10.05,4/1/2008,2615
BTAN,FR0113872776,3.75,5/20/2008,9/12/2010,2.31,5/12/2008,610
BTAN,FR0114683842,4.5,7/22/2008,7/12/2013,4.97,7/15/2008,1303
OAT,FR0010670737,4.25,10/7/2008,10/25/2018,10.05,10/1/2008,2484
BTAN,FR0116114978,2.5,1/27/2009,1/12/2014,4.96,1/20/2009,1298
BTAN,FR0116843519,1.5,5/26/2009,9/12/2011,2.3,5/18/2009,608
BTAN,FR0116843535,3.0,6/23/2009,7/12/2014,5.05,6/17/2009,1323
OAT,FR0010773192,4.5,6/30/2009,4/25/2041,31.82,6/23/2009,2295
OAT,FR0010776161,3.75,7/7/2009,10/25/2019,10.3,6/30/2009,2290
BTAN,FR0117836652,2.5,1/26/2010,1/15/2015,4.97,1/19/2010,1302
OAT,FR0010854182,3.5,2/9/2010,4/25/2020,10.21,2/2/2010,2133
OAT,FR0010870956,4.0,3/17/2010,4/25/2060,50.11,3/11/2010,2105
BTAN,FR0118153370,0.75,5/25/2010,9/20/2012,2.32,5/18/2010,612
BTAN,FR0118462128,2.0,6/22/2010,7/12/2015,5.05,6/15/2010,1323
OAT,FR0010916924,3.5,7/6/2010,4/25/2026,15.8,6/28/2010,2031
OAT,FR0010949651,2.5,10/12/2010,10/25/2020,10.04,10/5/2010,1960
BTAN,FR0119105809,2.25,1/25/2011,2/25/2016,5.08,1/18/2011,1328
BTAN,FR0119580019,2.0,5/24/2011,9/25/2013,2.34,5/18/2011,615
OAT,FR0011059088,3.25,6/7/2011,10/25/2021,10.38,5/31/2011,1790
BTAN,FR0119580050,2.5,6/21/2011,7/25/2016,5.1,6/14/2011,1331
OAT,FR0011196856,3.0,2/7/2012,4/25/2022,10.21,1/31/2012,1615
BTAN,FR0120473253,1.75,2/21/2012,2/25/2017,5.01,2/15/2012,1310
BTAN,FR0120634490,0.75,4/24/2012,9/25/2014,2.42,4/17/2012,637
BTAN,FR0120746609,1.0,7/24/2012,7/25/2017,5.0,7/17/2012,1310
OAT,FR0011317783,2.75,9/11/2012,10/25/2027,15.12,9/3/2012,1462
OAT,FR0011337880,2.25,10/9/2012,10/25/2022,10.04,10/2/2012,1441
OAT,FR0011394345,1.0,1/22/2013,5/25/2018,5.34,1/15/2013,1366
OAT,FR0011452721,0.25,3/26/2013,11/25/2015,2.67,3/20/2013,700
OAT,FR0011461037,3.25,4/4/2013,5/25/2045,32.14,3/27/2013,1315
OAT,FR0011486067,1.75,5/7/2013,5/25/2023,10.05,5/2/2013,1289
OAT,FR0011523257,1.0,6/25/2013,11/25/2018,5.42,6/19/2013,1255
OAT,FR0011619436,2.25,11/12/2013,5/25/2024,10.53,11/5/2013,1156
OAT,FR0011708080,1.0,1/28/2014,5/25/2019,5.32,1/21/2014,1101
OAT,FR0011857218,0.25,4/23/2014,11/25/2016,2.59,4/15/2014,679
OAT,FR0011883966,2.5,5/6/2014,5/25/2030,16.05,4/28/2014,1032
OAT,FR0011962398,1.75,6/10/2014,11/25/2024,10.46,6/3/2014,1006
OAT,FR0011993179,0.5,6/24/2014,11/25/2019,5.42,6/17/2014,994
OAT,FR0012517027,0.5,2/9/2015,5/25/2025,10.29,2/3/2015,831
OAT,FR0012557957,0.0,2/23/2015,5/25/2020,5.25,2/17/2015,821
