Empty Cell,0–2yr,2–5yr,5–10yr,10–20yr,20–30yr,30–50yr
"Panel A: Full sample: Oct 22, 1987 - April 10, 2018","Panel A: Full sample: Oct 22, 1987 - April 10, 2018","Panel A: Full sample: Oct 22, 1987 - April 10, 2018","Panel A: Full sample: Oct 22, 1987 - April 10, 2018","Panel A: Full sample: Oct 22, 1987 - April 10, 2018","Panel A: Full sample: Oct 22, 1987 - April 10, 2018","Panel A: Full sample: Oct 22, 1987 - April 10, 2018"
Mean,2.45,4.24,5.98,4.59,4.63,2.33
Max,30.59,43.54,40.64,44.94,37.60,25.40
Min,0.00,0.00,0.30,0.00,0.01,0.00
Std. Dev.,3.82,6.29,7.31,4.48,6.05,4.07
"Panel B: Euro sample: Jan 1, 1999 - April 10, 2018","Panel B: Euro sample: Jan 1, 1999 - April 10, 2018","Panel B: Euro sample: Jan 1, 1999 - April 10, 2018","Panel B: Euro sample: Jan 1, 1999 - April 10, 2018","Panel B: Euro sample: Jan 1, 1999 - April 10, 2018","Panel B: Euro sample: Jan 1, 1999 - April 10, 2018","Panel B: Euro sample: Jan 1, 1999 - April 10, 2018"
Mean,1.62,1.48,1.87,2.53,1.98,1.45
Max,14.27,9.61,14.53,9.72,10.84,11.11
Min,0.07,0.32,0.30,0.23,0.11,0.00
Std. Dev.,1.05,0.77,1.07,1.40,1.36,1.57
