Empty Cell,Quarterly returns,Quarterly returns.1,Quarterly returns.2,Annual returns,Annual returns.1,Annual returns.2
Panel A: 2-year OATs,Panel A: 2-year OATs,Panel A: 2-year OATs,Panel A: 2-year OATs,Panel A: 2-year OATs,Panel A: 2-year OATs,Panel A: 2-year OATs
Const,−0.000,0.001,0.000,−0.000,0.004,−0.001
,(-0.01),(1.57),(0.35),(-0.06),(1.51),(-0.41)
CP,0.506,,0.147,0.318,,−0.208
,(2.48),,(0.55),(2.44),,(-0.45)
FS,,0.385,0.336,,0.359,0.407
,,(2.28),(1.14),,(1.04),(2.14)
Adj. R2,5.18,4.87,4.88,5.97,2.04,5.87
Panel B: 3-year OATs,Panel B: 3-year OATs,Panel B: 3-year OATs,Panel B: 3-year OATs,Panel B: 3-year OATs,Panel B: 3-year OATs,Panel B: 3-year OATs
Const,−0.000,0.001,−0.000,−0.000,0.006,−0.001
,(-0.07),(0.66),(-0.08),(-0.03),(1.16),(-0.27)
CP,0.878,,−0.024,0.792,,−0.294
,(2.80),,(-0.07),(3.05),,(-0.32)
FS,,0.396,0.918,,0.736,1.000
,,(2.41),(1.30),,(1.73),(1.49)
Adj. R2,6.49,4.76,6.07,10.78,6.24,10.64
Panel C: 4-year OATs,Panel C: 4-year OATs,Panel C: 4-year OATs,Panel C: 4-year OATs,Panel C: 4-year OATs,Panel C: 4-year OATs,Panel C: 4-year OATs
Const,−0.000,0.001,−0.000,−0.000,0.007,0.000
,(-0.01),(0.23),(-0.04),(-0.00),(0.85),(0.01)
CP,1.180,,0.045,1.245,,0.093
,(2.94),,(0.12),(3.38),,(0.11)
FS,,0.423,1.090,,0.983,1.167
,,(2.39),(1.21),,(2.06),(1.47)
Adj. R2,6.75,4.92,6.34,13.92,9.42,13.54
Panel D: 5-year OATs,Panel D: 5-year OATs,Panel D: 5-year OATs,Panel D: 5-year OATs,Panel D: 5-year OATs,Panel D: 5-year OATs,Panel D: 5-year OATs
Const,0.000,−0.000,−0.001,0.000,0.006,−0.001
,(0.06),(-0.07),(-0.17),(0.04),(0.57),(-0.07)
CP,1.436,,0.149,1.645,,0.468
,(3.04),,(0.42),(3.57),,(0.58)
FS,,0.462,1.108,,1.205,1.225
,,(2.47),(1.16),,(2.35),(1.54)
Adj. R2,6.72,5.33,6.51,15.72,12.48,16.22
