Type,ISIN,Coupon,Issue date,Maturity date,Term,First quote,N obs.
BTAN,FR0100059502,7.0,1/12/1995,11/12/1999,4.83,7/6/1994,1397
BTAN,XB000A114096,6.5,3/6/1995,10/12/1996,1.6,7/6/1994,593
OAT,FR0000570467,7.75,4/25/1995,10/25/2005,10.5,1/3/2000,1516
BTAN,FR0100059528,7.75,7/12/1995,4/12/2000,4.75,1/6/1995,1374
BTAN,FR0100059544,7.0,8/11/1995,10/12/2000,5.17,7/11/1995,1371
BTAN,XB000A113346,7.25,9/27/1995,3/16/1998,2.47,2/24/1993,1312
OAT,FR0000570491,7.25,10/25/1995,4/25/2006,10.5,1/3/2000,1646
BTAN,XB000A114476,7.25,11/6/1995,8/12/1997,1.77,3/7/1995,634
BTAN,XB000A114468,7.5,11/22/1995,3/16/1997,1.31,2/23/1995,536
OAT,FR0000570731,6.5,2/26/1996,4/25/2011,15.16,1/3/2000,2950
OAT,FR0000570533,6.5,4/25/1996,10/25/2006,10.5,1/3/2000,1776
OAT,FR0000570509,7.0,5/23/1996,4/25/2006,9.92,1/3/2000,1281
BTAN,FR0100000365,5.75,6/5/1996,3/12/1998,1.77,11/10/1995,606
BTAN,FR0100059551,5.75,6/12/1996,3/12/2001,4.75,1/8/1996,1350
BTAN,FR0100059577,5.5,8/12/1996,10/12/2001,5.17,7/8/1996,1373
BTAN,FR0100059478,5.0,9/26/1996,3/16/1999,2.47,1/10/1994,1304
BTAN,FR0100059569,6.0,12/27/1996,3/16/2001,4.22,1/9/1996,1130
BTAN,FR0100024795,4.5,1/6/1997,10/12/1998,1.76,6/18/1996,596
OAT,FR0000570574,5.5,1/23/1997,4/25/2007,10.25,1/3/2000,1906
BTAN,FR0100059585,4.75,3/12/1997,3/12/2002,5.0,1/24/1997,1317
OAT,FR0000570590,5.5,7/10/1997,10/25/2007,10.29,1/3/2000,2037
BTAN,FR0100059593,4.5,7/24/1997,7/12/2002,4.97,7/16/1997,1303
BTAN,FR0100015967,4.5,7/24/1997,7/12/2002,4.97,7/15/1997,381
OAT,FR0000570632,5.25,1/15/1998,4/25/2008,10.28,1/3/2000,2168
BTAN,FR0100059601,4.5,2/26/1998,7/12/2003,5.37,2/23/1998,1405
OAT,FR0000571218,5.5,3/12/1998,4/25/2029,31.12,2/26/1998,5245
BTAN,FR0100059510,4.0,3/26/1998,1/12/2000,1.8,9/18/1997,603
BTAN,FR0100059536,4.0,5/28/1998,7/12/2000,2.12,5/20/1998,560
OAT,FR0000571432,4.0,10/8/1998,4/25/2009,10.55,10/1/1998,2755
BTAN,FR0100034208,4.0,12/24/1998,7/12/2000,1.55,4/8/1998,191
BTAN,FR0100033242,4.5,12/24/1998,7/12/2003,4.55,2/24/1998,223
BTAN,FR0100802273,3.5,1/28/1999,7/12/2004,5.45,1/21/1999,1429
BTAN,FR0100877812,3.0,3/25/1999,7/12/2001,2.3,3/18/1999,606
OAT,FR0000186199,4.0,5/12/1999,10/25/2009,10.46,1/3/2000,2559
BTAN,FR0101465831,4.0,10/28/1999,1/12/2002,2.21,10/20/1999,576
BTAN,FR0101659813,5.0,1/27/2000,7/12/2005,5.46,1/19/2000,1431
OAT,FR0000186603,5.5,2/8/2000,4/25/2010,10.21,1/27/2000,2671
BTAN,FR0102325695,5.0,8/17/2000,1/12/2003,2.4,8/17/2000,627
OAT,FR0000187023,5.5,9/12/2000,10/25/2010,10.12,9/7/2000,2641
BTAN,FR0102626779,5.0,10/24/2000,1/12/2006,5.22,10/18/2000,1368
