Panel B. The exchange market,Panel B. The exchange market,Panel B. The exchange market,Panel B. The exchange market,Panel B. The exchange market,Panel B. The exchange market,Panel B. The exchange market,Panel B. The exchange market,Panel B. The exchange market,Panel B. The exchange market
Empty Cell,(1),(2),(3),(4),(5),(6),(7),(8),(9)
Lnsize,−0.0623,,,,,,,−0.0101,−0.0113
Lnsize,(-2.50),,,,,,,(-0.38),(-0.32)
Maturity,,0.0370,,,,,,0.0488,0.0325
Maturity,,(1.27),,,,,,(1.62),(1.08)
Age,,,−0.0354,,,,,0.0108,−0.0334
Age,,,(-1.39),,,,,(0.40),(-1.44)
Rating,,,,0.1371,,,,0.1072,0.1170
Rating,,,,(4.45),,,,(3.35),(3.34)
Amihud,,,,,−0.0573,,,−0.0794,−0.0823
Amihud,,,,,(-2.43),,,(-2.35),(-2.68)
SOE,,,,,,0.0857,,,0.1958
SOE,,,,,,(1.07),,,(1.93)
MCB,,,,,,,0.0699,,−0.0661
MCB,,,,,,,(1.40),,(-1.25)
Intercept,0.3087,0.3087,0.3087,0.3087,0.3087,0.2291,0.2864,0.3087,0.1644
Intercept,(5.03),(5.03),(5.03),(5.03),(5.03),(2.43),(5.01),(5.03),(1.48)
Adj-R2,0.91%,2.47%,2.40%,5.20%,4.20%,1.85%,1.96%,11.19%,10.84%
