Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics,Panel B. Summary statistics of bond characteristics
Variable,The Interbank Market,The Interbank Market,The Interbank Market,The Interbank Market,The Interbank Market,The Interbank Market,The Exchange Market,The Exchange Market,The Exchange Market,The Exchange Market,The Exchange Market,The Exchange Market
Variable,Obs,Mean,Std,P25,P50,P75,Obs,Mean,Std,P25,P50,P75
Ret (%),31704,0.43,0.89,0.14,0.37,0.73,7615,0.52,1.33,0.06,0.52,1.11
Amount (million RMB),31704,78.24,128.46,11.07,39.99,99.52,7615,1.98,2.12,1.0,1.5,2.0
Size (billion RMB),31704,2.33,3.15,0.9,1.4,2.4,7615,3.76,12.73,0.02,0.2,2.29
Maturity,31704,2.6,2.29,0.62,1.9,4.5,7615,3.63,2.43,1.66,3.32,5.22
Age,31704,1.09,1.23,0.25,0.61,1.52,7615,3.41,2.75,1.42,2.69,4.61
Rating,31704,1.96,0.95,1.0,2.0,3.0,7615,2.01,0.91,1.0,2.0,3.0
Amihud,31704,0.31,0.67,0.01,0.06,0.26,7615,552.12,1437.77,2.19,32.26,309.78
SOE,31704,0.89,0.31,1.0,1.0,1.0,7615,0.83,0.38,1.0,1.0,1.0
MCB,31704,0.32,0.47,0.0,0.0,1.0,7615,0.46,0.5,0.0,0.0,1.0
