Empty Cell,Cumulative Returns (%),Cumulative Returns (%),Cumulative Returns (%),Cumulative Returns (%)
Empty Cell,Event Window,Post-event Window,Post-event Window,Post-event Window
Empty Cell,"[-1,1]","[1,10]","[1,30]","[1,60]"
Pledged Firms,0.05,−0.29,4.61,10.94
Market index (Shanghai Composite Index),−0.49,−0.87,0.48,2.09
Matched Non-pledged Firms,−0.32,−0.74,1.67,6.91
Pledged Firms - Market Index,0.55,0.58,4.13∗∗∗,8.86∗∗∗
Empty Cell,(1.49),(1.48),(5.41),(7.75)
Pledged Firms - matched Non-pledged Firms,0.37,0.45,2.94∗∗∗,4.03∗∗∗
Empty Cell,(0.69),(0.74),(3.08),(3.80)
