Panel B2. Stock Momentum (2017),Panel B2. Stock Momentum (2017),Panel B2. Stock Momentum (2017),Panel B2. Stock Momentum (2017),Panel B2. Stock Momentum (2017),Panel B2. Stock Momentum (2017),Panel B2. Stock Momentum (2017),Panel B2. Stock Momentum (2017),Panel B2. Stock Momentum (2017),Panel B2. Stock Momentum (2017)
Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet)
Variables,Sample of Positive and Negative Mom,Sample of Positive and Negative Mom,Sample of Positive and Negative Mom,Sample of Positive Mom,Sample of Positive Mom,Sample of Positive Mom,Sample of Negative Mom,Sample of Negative Mom,Sample of Negative Mom
Variables,(1),(2),(3),(4),(5),(6),(7),(8),(9)
Mom,0.518∗,0.423,0.253,0.110,−0.106,−0.224,0.570,0.364,0.007
Mom,(1.79),(1.14),(0.68),(0.18),(−0.13),(−0.28),(1.13),(0.58),(0.01)
High Pledge,,−0.012,−0.016,,−0.026,−0.026,,0.000,−0.002
High Pledge,,(−0.87),(−1.34),,(−0.96),(−0.89),,(0.02),(−0.06)
Mom × High Pledge,,0.211,0.261,,0.467,0.486,,0.477,0.681
Mom × High Pledge,,(0.49),(0.60),,(0.41),(0.44),,(0.55),(0.80)
MktMom,41.413∗∗∗,41.413∗∗∗,41.403∗∗∗,39.191∗∗∗,39.188∗∗∗,39.198∗∗∗,42.817∗∗∗,42.819∗∗∗,42.802∗∗∗
MktMom,(40.83),(40.83),(40.83),(34.30),(34.32),(34.31),(38.26),(38.26),(38.13)
Firm Characteristics Controlled?,No,No,Yes,No,No,Yes,No,No,Yes
Month and Industry FEs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Observations,74880,74880,74880,35052,35052,35052,39828,39828,39828
Adj. R2,0.15,0.15,0.15,0.12,0.12,0.12,0.19,0.19,0.19
