Variables,Monthly Stock Return (MRet),Monthly Stock Return (MRet),Monthly Stock Return (MRet),Monthly Stock Return (MRet),Monthly Stock Return (MRet),Monthly Stock Return (MRet)
Variables,(1),(2),(3),(4),(5),(6)
PledgePct,−1.683∗∗∗,,−0.986∗∗∗,,−1.015∗∗∗,
PledgePct,(−4.07),,(−2.64),,(−2.76),
PledgePct × Dum2017,1.505∗∗∗,,0.905∗,,0.905∗,
PledgePct × Dum2017,(2.97),,(1.91),,(1.90),
High Pledge,,−1.546∗∗∗,,−0.726∗∗,,−0.788∗∗
High Pledge,,(−4.42),,(−2.16),,(−2.37)
High Pledge × Dum2017,,1.340∗∗∗,,0.685∗,,0.696∗
High Pledge × Dum2017,,(3.31),,(1.74),,(1.76)
SOE,,,0.098,0.193,−0.098,−0.010
SOE,,,(0.34),(0.68),(−0.37),(−0.04)
PriorRet,,,−2.073∗∗,−2.065∗∗,−2.074∗∗,−2.067∗∗
PriorRet,,,(−2.24),(−2.23),(−2.24),(−2.23)
Size,,,0.151,0.144,0.043,0.033
Size,,,(0.56),(0.53),(0.16),(0.12)
B/M,,,2.178∗∗∗,2.156∗∗∗,2.136∗∗∗,2.115∗∗∗
B/M,,,(3.21),(3.16),(3.19),(3.14)
LEV,,,1.490∗∗∗,1.415∗∗∗,1.366∗∗∗,1.294∗∗∗
LEV,,,(3.19),(2.92),(2.95),(2.69)
Cash,,,0.326,0.418,0.168,0.261
Cash,,,(0.48),(0.60),(0.24),(0.37)
ROA,,,13.715∗∗∗,13.852∗∗∗,13.595∗∗∗,13.704∗∗∗
ROA,,,(4.01),(4.05),(3.98),(4.02)
Indep,,,,,0.687,0.709
Indep,,,,,(1.15),(1.20)
Inst,,,,,1.316∗∗∗,1.338∗∗∗
Inst,,,,,(3.04),(3.14)
Top1,,,,,0.088,0.121
Top1,,,,,(0.19),(0.26)
Constant,−5.093∗∗∗,−5.353∗∗∗,−10.143∗∗,−10.213∗∗,−9.084∗∗,−9.136∗∗
Constant,(−11.37),(−11.29),(−2.22),(−2.24),(−2.06),(−2.08)
Month and Industry FEs,Yes,Yes,Yes,Yes,Yes,Yes
Observations,59831,59831,59831,59831,59831,59831
Adj. R2,0.19,0.19,0.21,0.21,0.21,0.21
