Variables,RPT Net Inflow (Lending),RPT Net Inflow (Lending),RPT Net Inflow (Total),RPT Net Inflow (Total),Private Placement,Private Placement
Variables,(1),(2),(3),(4),(5),(6)
High Pledge,0.041,0.038,0.024,0.023,0.041,0.038
High Pledge,(1.38),(1.32),(1.30),(1.28),(0.94),(0.87)
Dum2018,−0.034,−0.031,0.007,0.010,−0.005,−0.004
Dum2018,(−1.42),(−1.21),(0.41),(0.56),(−0.16),(−0.13)
High Pledge × Dum2018,−0.053∗,−0.049∗,−0.025,−0.026,−0.079∗∗∗,−0.068∗∗
High Pledge × Dum2018,(−1.94),(−1.75),(−0.72),(−0.71),(−2.83),(−2.56)
SOE,,0.035,,0.027,,0.075∗∗
SOE,,(0.51),,(1.26),,(2.25)
Size,,−0.001,,0.009,,−0.028∗∗
Size,,(−0.05),,(1.01),,(−1.99)
B/M,,−0.054,,−0.026∗,,−0.019
B/M,,(−1.54),,(−1.80),,(−0.41)
LEV,,0.055,,−0.031,,0.226∗∗∗
LEV,,(0.95),,(−0.71),,(3.78)
Cash,,−0.272,,−0.206,,−0.089
Cash,,(−1.64),,(−1.29),,(−1.01)
ROA,,−0.452∗,,−0.311,,0.464∗∗∗
ROA,,(−1.75),,(−1.56),,(2.81)
Indep,,0.053,,0.070,,−0.162
Indep,,(0.42),,(1.03),,(−0.85)
Inst,,−0.030,,−0.026,,0.028
Inst,,(−0.71),,(−0.97),,(0.65)
Top1,,0.032,,−0.002,,−0.074
Top1,,(0.51),,(−0.12),,(−1.01)
Constant,0.029,0.182,−0.010,−0.072,,
Constant,(1.42),(0.77),(−0.69),(−0.67),,
Industry FE,Yes,Yes,Yes,Yes,Yes,Yes
Observations,672,672,672,672,672,672
Adj. R2,0.04,0.08,0.01,0.06,,
Pseudo R2,,,,,0.05,0.17
