Panel B. Sample of 2017,Panel B. Sample of 2017,Panel B. Sample of 2017,Panel B. Sample of 2017,Panel B. Sample of 2017,Panel B. Sample of 2017,Panel B. Sample of 2017,Panel B. Sample of 2017,Panel B. Sample of 2017,Panel B. Sample of 2017
Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet)
Variables,Sample of Positive and Negative Mom,Sample of Positive and Negative Mom,Sample of Positive and Negative Mom,Sample of Positive Mom,Sample of Positive Mom,Sample of Positive Mom,Sample of Negative Mom,Sample of Negative Mom,Sample of Negative Mom
Variables,(1),(2),(3),(4),(5),(6),(7),(8),(9)
Mom,1.060∗∗∗,1.010∗∗∗,0.909∗∗∗,1.284∗∗∗,1.185∗∗∗,1.253∗∗∗,0.735∗∗,0.692∗,0.334
Mom,(4.47),(4.19),(3.80),(3.57),(3.21),(3.38),(2.10),(1.94),(0.96)
High Pledge,,−0.017∗,−0.013,,−0.036∗,−0.032,,−0.011,−0.006
High Pledge,,(−1.92),(−1.52),,(−1.79),(−1.54),,(−0.66),(−0.34)
Mom∗High Pledge,,0.475,0.488,,0.928,0.910,,0.461,0.474
Mom∗High Pledge,,(1.39),(1.42),,(1.03),(1.01),,(0.79),(0.82)
MktMom,44.667∗∗∗,44.666∗∗∗,44.656∗∗∗,42.081∗∗∗,42.082∗∗∗,42.100∗∗∗,46.329∗∗∗,46.329∗∗∗,46.276∗∗∗
MktMom,(53.43),(53.43),(53.43),(52.65),(52.66),(52.68),(47.64),(47.64),(47.56)
Firm Characteristics Controlled?,No,No,Yes,No,No,Yes,No,No,Yes
Month and Industry FEs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Observations,583574,583574,583574,276493,276493,276493,307081,307081,307081
Adj. R2,0.15,0.15,0.15,0.11,0.11,0.11,0.19,0.19,0.19
