Stock Pledge Portfolios,Observations,PledgePct,SOE,Size,B/M,LEV,Cash,ROA,Indep,Inst,Top1
Non-pledged,1693.0,0.0,0.503,15.943,0.445,0.428,0.179,0.043,0.374,0.422,0.350
Low-pledged,237.0,0.151,0.128,15.911,0.368,0.383,0.167,0.052,0.380,0.336,0.346
2,234.0,0.364,0.147,15.887,0.396,0.416,0.156,0.045,0.377,0.321,0.314
3,236.0,0.543,0.176,15.851,0.418,0.441,0.143,0.036,0.378,0.349,0.318
4,232.0,0.775,0.009,16.010,0.405,0.457,0.145,0.039,0.373,0.349,0.297
High-pledged,228.0,0.978,0.023,15.877,0.399,0.487,0.159,0.030,0.381,0.378,0.276
High-pledged - Low-pledged,,,−0.105∗∗∗,−0.034,0.031,0.104∗∗∗,−0.007,−0.022∗∗∗,0.001,0.042∗∗,−0.070∗∗∗
High-pledged - Low-pledged,,,(-4.36),(-0.41),(1.45),(5.63),(-0.74),(-4.48),(0.15),(2.16),(−5.74)
High-pledged - Non-pledged,,,−0.481∗∗∗,−0.066,−0.046∗∗∗,0.059∗∗∗,−0.020∗∗,−0.013∗∗∗,0.008∗∗,−0.044∗∗∗,−0.074∗∗∗
High-pledged - Non-pledged,,,(−30.10),(−1.07),(−2.64),(3.91),(−2.40),(−3.48),(1.98),(−3.18),(−8.34)
