Variables,ROA,ROA,Investment,Investment
Variables,(1),(2),(3),(4)
Pledged,−0.004,−0.004,0.000,−0.001
Pledged,(−1.27),(−1.61),(0.01),(−0.08)
Post,−0.015∗∗∗,−0.001,−0.049∗∗∗,−0.039∗∗∗
Post,(−5.45),(−0.54),(−6.37),(−4.43)
Pledged × Post,0.001,0.001,0.017∗,0.018∗
Pledged × Post,(0.29),(0.43),(1.77),(1.86)
SOE,,0.001,,−0.011
SOE,,(0.20),,(−0.45)
Size,,0.005∗∗∗,,0.005
Size,,(3.04),,(1.02)
B/M,,−0.027∗∗∗,,−0.044∗∗
B/M,,(−6.75),,(−2.38)
LEV,,−0.014∗∗,,−0.007
LEV,,(−2.27),,(−0.29)
Cash,,0.015∗,,0.004
Cash,,(1.71),,(0.14)
(Lag) ROA,,0.560∗∗∗,,0.093
(Lag) ROA,,(12.22),,(0.95)
Indep,,−0.008,,−0.077
Indep,,(−0.43),,(−1.31)
Inst,,0.013∗∗∗,,−0.007
Inst,,(3.13),,(−0.50)
Top1,,0.001,,0.030
Top1,,(0.18),,(1.27)
Constant,0.046∗∗∗,−0.055∗∗,0.114∗∗∗,0.029
Constant,(3.80),(−2.22),(2.80),(0.35)
Year and Industry FEs,Yes,Yes,Yes,Yes
Observations,2248,2248,2248,2248
Adj. R2,0.06,0.46,0.04,0.05
