Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018),Panel C1. Contagion (Cross-momentum) Effects (2018)
Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet),Daily Stock Return (DRet)
Variables,Sample of Positive and Negative CrMom,Sample of Positive and Negative CrMom,Sample of Positive and Negative CrMom,Sample of Positive and Negative CrMom,Sample of Positive CrMom,Sample of Positive CrMom,Sample of Positive CrMom,Sample of Positive CrMom,Sample of Negative CrMom,Sample of Negative CrMom,Sample of Negative CrMom,Sample of Negative CrMom
Variables,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
,,,,,,,,,,,,
CrMom,3.894∗∗∗,3.474∗∗∗,3.508∗∗∗,4.696∗∗∗,2.360∗,2.184,2.292,3.025∗∗,2.082,2.126,2.240,2.822
CrMom,(5.31),(4.18),(4.22),(6.14),(1.92),(1.55),(1.62),(2.45),(1.20),(1.18),(1.24),(1.51)
High Pledge,,−0.038∗∗,−0.030,,,−0.074∗,−0.070∗,,,0.012,0.027,
High Pledge,,(−2.22),(−1.59),,,(−1.89),(−1.71),,,(0.28),(0.61),
High Pledge × CrMom,,1.973∗∗,1.932∗∗,,,0.634,0.604,,,1.465∗,1.458∗,
High Pledge × CrMom,,(2.21),(2.20),,,(0.43),(0.42),,,(1.73),(1.72),
Zero Pledge,,,,0.037∗∗,,,,0.055,,,,0.017
Zero Pledge,,,,(2.11),,,,(1.33),,,,(0.45)
Zero Pledge × CrMom,,,,−1.660∗∗,,,,−1.295,,,,−1.317
Zero Pledge × CrMom,,,,(−2.01),,,,(−0.95),,,,(−0.79)
Mom,1.249∗∗,1.247∗∗,1.213∗∗,1.101∗∗,1.638∗∗∗,1.635∗∗∗,1.528∗∗,1.390∗∗,0.138,0.142,0.057,−0.017
Mom,(2.31),(2.30),(2.24),(2.11),(2.61),(2.60),(2.41),(2.21),(0.21),(0.21),(0.09),(−0.03)
MktMom,35.066∗∗∗,35.069∗∗∗,35.069∗∗∗,35.082∗∗∗,38.367∗∗∗,38.369∗∗∗,38.372∗∗∗,38.367∗∗∗,27.847∗∗∗,27.848∗∗∗,27.845∗∗∗,27.879∗∗∗
MktMom,(51.15),(51.15),(51.14),(51.26),(50.25),(50.25),(50.24),(50.29),(30.67),(30.66),(30.67),(30.71)
Firm Characteristics Controlled?,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
Month and Industry FEs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Observations,56276,56276,56276,56276,32416,32416,32416,32416,23860,23860,23860,23860
Adj. R2,0.26,0.26,0.26,0.26,0.32,0.33,0.33,0.33,0.16,0.16,0.16,0.16
