Experts,Ann Ret,Vol,Skew,Kurt,SR,Max DD,Max Loss
Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted
NN2_0,0.27,0.12,1.36,9.26,2.22,0.16,0.15
NN2_1,0.30,0.13,1.26,8.25,2.25,0.17,0.17
NN2_2,0.29,0.13,1.13,7.95,2.24,0.29,0.18
NN2_3,0.29,0.15,1.04,11.76,1.89,0.28,0.21
NN2_4,0.28,0.15,0.98,11.63,1.89,0.56,0.20
NN2_5,0.27,0.13,1.49,8.03,2.10,0.16,0.08
NN2_6,0.30,0.15,1.50,11.49,1.97,0.34,0.18
NN2_7,0.27,0.13,3.30,29.14,2.04,0.21,0.11
NN2_8,0.29,0.15,3.09,28.21,2.01,0.51,0.17
NN2_9,0.29,0.13,1.65,13.48,2.25,0.28,0.15
OLS_0,0.25,0.11,0.51,5.99,2.21,0.19,0.12
OLS_1,0.24,0.12,0.45,8.10,1.97,0.19,0.19
OLS_2,0.23,0.12,0.15,6.32,1.95,0.24,0.16
OLS_3,0.24,0.11,−0.21,9.35,2.16,0.21,0.21
OLS_4,0.24,0.12,−1.05,12.18,2.05,0.25,0.23
OLS_5,0.23,0.11,0.59,3.93,2.18,0.14,0.11
OLS_6,0.27,0.12,0.89,4.86,2.25,0.18,0.10
OLS_7,0.24,0.11,0.94,7.24,2.15,0.21,0.11
OLS_8,0.24,0.12,0.40,6.72,2.08,0.29,0.14
OLS_9,0.22,0.14,0.56,7.05,1.58,0.31,0.16
Extended PtfBOA,0.35,0.13,2.95,18.26,2.76,0.09,0.05
Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted
NN2_0,0.37,0.16,1.27,7.46,2.27,0.19,0.18
NN2_1,0.40,0.18,1.00,7.31,2.27,0.25,0.25
NN2_2,0.38,0.17,1.06,7.34,2.25,0.35,0.22
NN2_3,0.39,0.20,0.77,8.97,1.91,0.42,0.26
NN2_4,0.37,0.20,0.55,10.19,1.89,0.83,0.29
NN2_5,0.37,0.17,1.41,7.89,2.11,0.19,0.10
NN2_6,0.40,0.20,1.15,8.89,1.97,0.51,0.22
NN2_7,0.36,0.18,2.83,22.44,2.06,0.23,0.14
NN2_8,0.39,0.19,2.39,22.49,2.00,0.76,0.26
NN2_9,0.39,0.17,1.22,10.61,2.26,0.41,0.22
OLS + H_0,0.33,0.15,0.12,5.05,2.17,0.33,0.16
OLS + H_1,0.32,0.16,0.22,6.54,1.97,0.24,0.23
OLS + H_2,0.30,0.16,−0.05,5.20,1.92,0.41,0.19
OLS + H_3,0.32,0.15,−0.30,7.40,2.16,0.26,0.26
OLS + H_4,0.32,0.15,−1.03,10.1,2.10,0.31,0.29
OLS + H_5,0.31,0.14,0.24,3.32,2.13,0.21,0.14
OLS + H_6,0.35,0.16,0.53,3.72,2.23,0.22,0.14
OLS + H_7,0.32,0.15,0.60,5.28,2.17,0.26,0.13
OLS + H_8,0.32,0.15,0.30,5.52,2.11,0.36,0.18
OLS + H_9,0.29,0.18,0.19,5.75,1.59,0.41,0.19
Extended BOA,0.47,0.17,2.98,18.39,2.82,0.09,0.07
