Empty Cell,OLS,OLS3,PLS,PCR,ENet,GLM,RF,GBRT,NN1,NN2,NN3,NN4,NN5
Empty Cell,+H,+H,PLS,PCR,+H,+H,RF,+H,NN1,NN2,NN3,NN4,NN5
Ann Ret,0.27,0.16,0.23,0.23,0.23,0.24,0.21,0.19,0.36,0.37,0.36,0.36,0.32
Vol,0.12,0.14,0.12,0.12,0.13,0.13,0.1,0.11,0.16,0.14,0.15,0.14,0.15
SR,2.29,1.13,1.84,1.83,1.79,1.84,2.04,1.72,2.33,2.67,2.37,2.48,2.16
Skew,0.84,0.82,0.16,0.62,0.13,−0.21,1.28,1.89,2.39,2.48,1.87,1.9,2.71
Kurt,5.3,23.68,9.14,7.84,7.58,9.78,6.52,14.23,23.0,16.41,13.35,13.26,24.58
Max DD,0.16,0.51,0.36,0.21,0.28,0.33,0.16,0.2,0.23,0.14,0.24,0.19,0.38
Max Loss,0.09,0.3,0.19,0.14,0.16,0.22,0.1,0.12,0.23,0.13,0.19,0.18,0.19
Turnover,1.05,1.33,1.02,1.06,0.97,1.07,0.51,0.67,0.66,0.6,0.69,0.55,0.52
