Empty Cell,OLS,OLS3,PLS,PCR,ENet,GLM,RF,GBRT,NN1,NN2,NN3,NN4,NN5
Empty Cell,+H,+H,Empty Cell,Empty Cell,+H,+H,Empty Cell,+H,Empty Cell,Empty Cell,Empty Cell,Empty Cell,Empty Cell
Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted,Value Weighted
PtfUNI,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Best Convex on Valid. Set,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Best Convex One-Year Rolling,0.25,0.01,0.02,0.01,0.03,0.03,0.03,0.03,0.15,0.13,0.07,0.11,0.13
PtfBOA,0.38,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.06,0.39,0.05,0.06,0.02
Oracle,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.50,0.00,0.00,0.00
Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted,Equally Weighted
PtfUNI,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Best Convex on Valid. Set,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Best Convex One-year Rolling,0.25,0.00,0.02,0.02,0.02,0.03,0.04,0.03,0.15,0.14,0.07,0.11,0.12
PtfBOA,0.23,0.01,0.00,0.00,0.01,0.02,0.00,0.00,0.09,0.44,0.08,0.07,0.03
Oracle,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.11,0.00
