Empty Cell,Best Expert,Fixed Combination,Fixed Combination,Adaptative Mixture,Adaptative Mixture,Oracle
Empty Cell,NN2,PtfUNI,Best Convex,Best Convex,PtfBOA,Best Convex
Empty Cell,Empty Cell,Empty Cell,on Valid. Set,One-year Rolling,Empty Cell,Empty Cell
All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks
Ann. Ret.,0.50,0.36,0.36,0.43,0.49,0.50
Vol.,0.18,0.14,0.16,0.16,0.18,0.17
SR,2.74,2.56,2.28,2.60,2.77,2.92
Skew.,2.27,1.19,0.52,1.65,3.11,2.90
Kurt.,13.94,10.17,4.36,10.58,19.63,17.93
Max DD,0.17,0.24,0.25,0.17,0.08,0.07
Max Loss,0.16,0.18,0.13,0.16,0.08,0.07
Turnover,1.23,1.22,1.26,1.22,1.23,1.24
Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps
Ann. Ret.,0.16,0.12,0.15,0.11,0.13,0.16
Vol.,0.22,0.15,0.16,0.16,0.15,0.16
SR,0.75,0.83,0.94,0.70,0.86,0.99
Skew,0.45,0.74,0.39,0.35,0.47,0.56
Kurt,7.75,11.72,6.74,9.06,10.46,9.85
Max DD,0.82,0.44,0.43,0.43,0.40,0.41
Max Loss,0.29,0.21,0.21,0.25,0.22,0.22
Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps
Ann. Ret.,1.02,0.72,0.47,0.96,0.99,1.03
Vol.,0.40,0.22,0.21,0.37,0.37,0.40
SR,2.57,3.33,2.22,2.60,2.65,2.60
Skew,2.78,1.83,−0.55,2.72,2.76,2.88
Kurt,16.27,8.03,3.34,14.53,15.83,16.77
Max DD,0.17,0.14,0.32,0.15,0.17,0.18
Max Loss,0.17,0.14,0.32,0.13,0.12,0.13
