Empty Cell,Empty Cell,Empty Cell,Empty Cell,Empty Cell,OLS + H,OLS + H,OLS + H,OLS + H,Empty Cell,Empty Cell,Empty Cell,Empty Cell
Decile,Empty Cell,Empty Cell.1,Empty Cell.2,Empty Cell.3,Pred,Real,Std,SR,Empty Cell.4,Empty Cell.5,Empty Cell.6,Empty Cell.7
L,,,,,−1.35,−0.61,6.95,−0.30,,,,
2,,,,,−0.41,0.51,6.17,0.29,,,,
3,,,,,−0.05,0.77,5.61,0.48,,,,
4,,,,,0.39,0.97,5.23,0.64,,,,
5,,,,,0.70,1.09,5.07,0.74,,,,
6,,,,,0.98,1.21,5.05,0.84,,,,
7,,,,,1.28,1.30,5.05,0.89,,,,
8,,,,,1.61,1.49,5.23,0.98,,,,
9,,,,,2.04,1.70,5.45,1.08,,,,
H,,,,,2.88,2.11,6.00,1.22,,,,
H-L,,,,,4.49,2.99,4.50,2.28,,,,
Decile,OLS3+H,OLS3+H,OLS3+H,OLS3+H,PLS,PLS,PLS,PLS,PCR,PCR,PCR,PCR
Decile,Pred,Real,Std,SR,Pred,Real,Std,SR,Pred,Real,Std,SR
L,−0.19,0.44,6.77,0.23,−1.03,−0.12,7.22,−0.06,−0.9,−0.12,6.86,−0.06
2,0.16,0.72,5.48,0.46,−0.22,0.55,6.08,0.31,−0.15,0.58,6.0,0.33
3,0.38,0.98,4.83,0.7,0.2,0.79,5.55,0.49,0.24,0.81,5.37,0.52
4,0.58,1.00,4.49,0.77,0.52,0.89,5.21,0.59,0.54,0.9,5.21,0.6
5,0.77,0.98,4.43,0.77,0.82,0.96,5.05,0.66,0.82,0.99,5.12,0.67
6,0.94,0.96,4.79,0.69,1.10,1.07,5.16,0.72,1.08,1.03,5.20,0.69
7,1.11,1.06,5.31,0.69,1.40,1.17,5.18,0.79,1.35,1.18,5.27,0.78
8,1.28,1.22,6.09,0.70,1.74,1.39,5.25,0.92,1.66,1.42,5.27,0.94
9,1.49,1.23,6.44,0.66,2.17,1.65,5.35,1.07,2.04,1.64,5.58,1.02
H,1.81,1.94,8.08,0.83,3.00,2.18,5.87,1.29,2.79,2.11,6.14,1.19
H-L,2.26,1.76,5.47,1.11,4.29,2.57,4.79,1.85,3.96,2.50,4.85,1.78
Decile,ENet + H,ENet + H,ENet + H,ENet + H,GLM + H,GLM + H,GLM + H,GLM + H,RF,RF,RF,RF
Decile,Pred,Real,Std,SR,Pred,Real,Std,SR,Pred,Real,Std,SR
L,−0.86,−0.21,7.24,−0.1,−0.78,−0.29,7.41,−0.13,0.20,0.37,7.13,0.18
2,−0.16,0.61,6.28,0.34,−0.13,0.64,6.26,0.35,0.47,0.63,5.87,0.37
3,0.2,0.88,5.62,0.54,0.23,0.87,5.65,0.53,0.62,0.71,5.73,0.43
4,0.49,0.97,5.19,0.65,0.50,0.95,5.20,0.63,0.73,0.94,5.51,0.59
5,0.75,1.09,5.03,0.75,0.75,1.09,5.07,0.74,0.85,1.04,5.59,0.65
6,0.99,1.08,4.94,0.76,0.99,1.12,4.93,0.79,1.08,1.07,5.02,0.74
7,1.25,1.21,5.01,0.84,1.23,1.17,5.09,0.80,1.22,1.09,4.7,0.80
8,1.52,1.29,5.20,0.86,1.49,1.25,5.08,0.85,1.35,1.05,4.84,0.75
9,1.87,1.56,5.67,0.95,1.82,1.64,5.59,1.02,1.50,1.23,5.03,0.85
H,2.51,2.05,6.04,1.18,2.42,2.11,5.92,1.23,2.48,2.42,7.25,1.16
H-L,3.63,2.53,4.90,1.77,3.47,2.66,5.06,1.81,2.54,2.31,4.05,1.96
Decile,GBRT + H,GBRT + H,GBRT + H,GBRT + H,NN1,NN1,NN1,NN1,NN2,NN2,NN2,NN2
Decile,Pred,Real,Std,SR,Pred,Real,Std,SR,Pred,Real,Std,SR
L,−0.12,0.14,6.91,0.07,−1.46,−0.59,8.17,−0.25,−1.26,−0.63,8.07,−0.27
2,0.21,0.81,5.73,0.49,−0.33,0.46,6.34,0.25,−0.12,0.29,6.26,0.16
3,0.36,0.98,5.45,0.62,0.17,0.70,5.38,0.45,0.36,0.59,5.28,0.39
4,0.49,0.94,5.32,0.61,0.52,0.81,4.88,0.57,0.68,0.79,4.83,0.57
5,0.62,1.16,5.52,0.73,0.82,0.91,4.66,0.68,0.95,0.90,4.64,0.67
6,0.80,1.06,4.95,0.74,1.09,1.05,4.58,0.79,1.20,1.10,4.54,0.84
7,1.05,1.13,4.75,0.82,1.38,1.18,4.62,0.88,1.46,1.21,4.64,0.9
8,1.24,1.12,4.83,0.8,1.72,1.32,4.73,0.97,1.76,1.35,4.70,1.00
9,1.44,1.23,5.72,0.75,2.19,1.52,5.07,1.04,2.19,1.63,5.14,1.10
H,2.26,1.98,7.76,0.88,4.12,3.18,8.62,1.28,4.09,3.31,8.61,1.33
H-L,2.65,2.11,4.25,1.71,5.84,4.04,5.80,2.39,5.61,4.20,5.27,2.74
Decile,NN3,NN3,NN3,NN3,NN4,NN4,NN4,NN4,NN5,NN5,NN5,NN5
Decile,Pred,Real,Std,SR,Pred,Real,Std,SR,Pred,Real,Std,SR
L,−1.54,−0.58,8.27,−0.24,−1.49,−0.61,8.36,−0.25,−0.87,−0.43,8.03,−0.19
2,−0.32,0.44,6.41,0.24,−0.17,0.40,6.38,0.22,0.16,0.49,6.22,0.27
3,0.20,0.68,5.31,0.44,0.38,0.70,5.35,0.45,0.55,0.81,5.27,0.53
4,0.55,0.75,4.91,0.53,0.74,0.80,4.84,0.57,0.82,0.92,4.72,0.68
5,0.85,0.88,4.71,0.65,1.03,0.92,4.61,0.69,1.04,1.04,4.65,0.78
6,1.11,1.07,4.59,0.81,1.30,1.08,4.54,0.83,1.24,0.98,4.60,0.74
