Empty Cell,OLS,OLS3,PLS,PCR,ENet,GLM,RF,GBRT,NN1,NN2,NN3,NN4,NN5
Empty Cell,+H,+H,Empty Cell,Empty Cell,+H,+H,Empty Cell,+H,Empty Cell,Empty Cell,Empty Cell,Empty Cell,Empty Cell
All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks,All Stocks
Ann Ret,0.36,0.21,0.31,0.30,0.30,0.32,0.28,0.25,0.48,0.50,0.48,0.48,0.43
Vol,0.16,0.19,0.17,0.17,0.17,0.18,0.14,0.15,0.20,0.18,0.20,0.19,0.20
SR,2.28,1.11,1.85,1.78,1.77,1.81,1.96,1.71,2.39,2.74,2.42,2.56,2.21
Skew,0.52,0.77,0.14,0.46,−0.05,−0.26,0.97,1.72,2.18,2.27,1.69,1.75,2.40
Kurt,4.36,17.89,7.96,7.50,7.42,8.63,7.03,12.63,19.44,13.94,11.12,11.47,19.56
Max DD,0.25,0.63,0.44,0.31,0.40,0.40,0.23,0.24,0.28,0.17,0.29,0.23,0.47
Max Loss,0.13,0.36,0.23,0.20,0.22,0.27,0.17,0.16,0.28,0.16,0.23,0.22,0.23
Turnover,1.26,1.50,1.15,1.27,1.28,1.36,0.92,1.25,1.24,1.23,1.20,1.20,1.15
Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps,Top 1000 Market Caps
Ann. Ret.,0.15,0.06,0.13,0.12,0.13,0.13,0.08,0.05,0.16,0.16,0.15,0.15,0.11
Vol.,0.16,0.18,0.17,0.16,0.17,0.18,0.16,0.14,0.23,0.22,0.24,0.23,0.21
SR,0.94,0.33,0.78,0.77,0.77,0.73,0.51,0.39,0.70,0.75,0.64,0.65,0.54
Skew,0.39,0.50,1.02,0.89,0.61,0.68,0.50,−0.45,0.24,0.45,0.44,0.76,0.31
Kurt,6.74,7.93,8.92,7.89,7.10,7.31,11.89,14.32,10.37,7.75,7.95,9.64,7.64
Max DD,0.43,0.74,0.53,0.44,0.48,0.55,0.44,0.68,0.67,0.82,1.08,0.87,0.71
Max Loss,0.21,0.26,0.21,0.19,0.21,0.22,0.26,0.30,0.37,0.29,0.32,0.33,0.26
Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps,Bottom 1000 Market Caps
Ann. Ret.,0.47,0.58,0.47,0.47,0.45,0.49,0.84,0.74,0.98,1.02,0.97,0.97,0.88
Vol.,0.21,0.26,0.23,0.23,0.23,0.23,0.35,0.33,0.38,0.40,0.39,0.39,0.43
SR,2.22,2.21,2.04,2.01,1.94,2.14,2.41,2.23,2.57,2.57,2.49,2.51,2.08
Skew,−0.55,1.61,−1.02,−0.71,−1.34,−1.42,2.80,2.85,2.62,2.78,2.99,2.95,3.20
Kurt,3.34,9.56,6.68,4.96,6.63,7.08,15.79,16.56,14.79,16.27,21.71,20.39,24.84
Max DD,0.32,0.28,0.46,0.44,0.72,0.52,0.16,0.23,0.19,0.17,0.30,0.23,0.50
Max Loss,0.32,0.16,0.42,0.38,0.37,0.36,0.12,0.13,0.14,0.17,0.15,0.12,0.36
