Decile,NN3,NN3,NN3,NN3,NN4,NN4,NN4,NN4,NN5,NN5,NN5,NN5
Decile,Pred,Real,Std,SR,Pred,Real,Std,SR,Pred,Real,Std,SR
L,−1.28,−0.67,6.1,−0.38,−1.22,−0.68,6.12,−0.39,−0.80,−0.55,5.84,−0.33
2,−0.42,0.07,4.68,0.05,−0.30,0.04,4.63,0.03,−0.07,0.12,4.45,0.10
3,−0.05,0.25,3.79,0.23,0.09,0.26,3.79,0.24,0.20,0.35,3.75,0.33
4,0.20,0.30,3.48,0.30,0.34,0.34,3.4,0.34,0.39,0.42,3.33,0.44
5,0.40,0.40,3.31,0.42,0.54,0.42,3.23,0.45,0.54,0.51,3.28,0.54
6,0.59,0.53,3.21,0.58,0.73,0.54,3.18,0.58,0.68,0.46,3.21,0.50
7,0.78,0.62,3.21,0.67,0.93,0.64,3.19,0.69,0.83,0.60,3.21,0.65
8,1.00,0.76,3.25,0.81,1.16,0.74,3.32,0.78,1.01,0.67,3.3,0.70
9,1.32,0.91,3.51,0.90,1.48,0.87,3.56,0.84,1.28,0.76,3.74,0.70
H,2.66,2.04,6.04,1.17,2.92,2.05,6.02,1.18,2.65,1.86,6.4,1.01
H-L,4.20,2.98,4.31,2.39,4.40,3.00,4.13,2.51,3.71,2.68,4.27,2.17
