Panel A. Alpha Difference in Means using 12-Month Look-back,Panel A. Alpha Difference in Means using 12-Month Look-back,Panel A. Alpha Difference in Means using 12-Month Look-back,Panel A. Alpha Difference in Means using 12-Month Look-back,Panel A. Alpha Difference in Means using 12-Month Look-back,Panel A. Alpha Difference in Means using 12-Month Look-back
Empty Cell,CAPM,FF3,Carhart,FF5,FF5 + Momentum
Cluster-optimized vs Markowitz,−0.08∗∗,−0.14∗∗,0.17∗∗,−0.25∗∗,−0.10∗∗
T-Stat,(2.59),(5.22),(6.82),(9.91),(4.36)
Difference in StdDev,(-0.42),(-0.48),(-0.41),(-0.43),(-0.42)
Cluster-optimized vs 25 Size BM,0.02,0.11∗∗,0.15∗∗,0.13∗∗,0.15∗∗
T-Stat,(0.86),(9.53),(13.60),(11.65),(14.08)
Difference in StdDev,(-0.25),(-0.13),(-0.11),(-0.11),(-0.12)
Panel B. Alpha Difference in Means using 60-Month Look-back,Panel B. Alpha Difference in Means using 60-Month Look-back,Panel B. Alpha Difference in Means using 60-Month Look-back,Panel B. Alpha Difference in Means using 60-Month Look-back,Panel B. Alpha Difference in Means using 60-Month Look-back,Panel B. Alpha Difference in Means using 60-Month Look-back
,CAPM,FF3,Carhart,FF5,FF5 + Momentum
Cluster-optimized vs Markowitz,0.16∗∗,0.15,0.22∗∗,0.01,0.13∗∗
T-Stat,(9.02),(1.02),(15.30),(0.52),(7.25)
Difference in StdDev,(0.06),(-0.06),(-0.06),(-0.15),(-0.15)
Cluster-optimized vs 25 Size BM,0.04,0.11∗∗,0.18∗∗,0.09∗∗,0.13∗∗
T-Stat,(1.60),(9.21),(15.40),(7.60),(11.21)
Difference in StdDev,(-0.23),(-0.07),(-0.07),(-0.05),(-0.04)
Panel C. Alpha Difference in Means using 120-Month Look-back,Panel C. Alpha Difference in Means using 120-Month Look-back,Panel C. Alpha Difference in Means using 120-Month Look-back,Panel C. Alpha Difference in Means using 120-Month Look-back,Panel C. Alpha Difference in Means using 120-Month Look-back,Panel C. Alpha Difference in Means using 120-Month Look-back
,CAPM,FF3,Carhart,FF5,FF5 + Momentum
Cluster-optimized vs Markowitz,0.05∗∗,−0.12∗∗,0.04∗∗,−0.03,0.09∗∗
T-Stat,(2.82),(9.18),(3.19),(1.75),(5.75)
Difference in StdDev,(-0.05),(-0.09),(-0.12),(-0.20),(-0.22)
Cluster-optimized vs 25 Size BM,0.02,0.04∗∗,0.10∗∗,0.05∗∗,0.09∗∗
T-Stat,(0.92),(3.37),(7.96),(4.08),(7.54)
Difference in StdDev,(-0.31),(-0.13),(-0.14),(-0.14),(-0.16)
