Panel A. % of Significant Alpha using 12-Month Look-back,Panel A. % of Significant Alpha using 12-Month Look-back,Panel A. % of Significant Alpha using 12-Month Look-back,Panel A. % of Significant Alpha using 12-Month Look-back,Panel A. % of Significant Alpha using 12-Month Look-back,Panel A. % of Significant Alpha using 12-Month Look-back
Empty Cell,CAPM,FF3,Carhart,FF5,FF5 + Momentum
Cluster-optimized,29.00,23.31,33.45,35.05,41.99
Markowitz,14.95,11.03,7.47,15.48,10.68
25 Size BM,24.52,20.46,20.28,19.10,18.26
Panel B. % of Significant Alpha using 60-Month Look-back,Panel B. % of Significant Alpha using 60-Month Look-back,Panel B. % of Significant Alpha using 60-Month Look-back,Panel B. % of Significant Alpha using 60-Month Look-back,Panel B. % of Significant Alpha using 60-Month Look-back,Panel B. % of Significant Alpha using 60-Month Look-back
,CAPM,FF3,Carhart,FF5,FF5 + Momentum
Cluster-optimized,36.38,31.91,45.91,49.03,52.72
Markowitz,9.73,6.81,8.56,7.20,9.53
25 Size BM,26.01,20.59,20.43,19.39,18.63
Panel C. % of Significant Alpha using 120-Month Look-back,Panel C. % of Significant Alpha using 120-Month Look-back,Panel C. % of Significant Alpha using 120-Month Look-back,Panel C. % of Significant Alpha using 120-Month Look-back,Panel C. % of Significant Alpha using 120-Month Look-back,Panel C. % of Significant Alpha using 120-Month Look-back
,CAPM,FF3,Carhart,FF5,FF5 + Momentum
Cluster-optimized,15.64,20.26,23.13,14.98,22.47
Markowitz,14.76,9.25,12.11,7.93,9.47
25 Size BM,24.00,22.45,22.42,20.93,20.10
