Darling Downs Region,Darling Downs Region.1,Darling Downs Region.2,Darling Downs Region.3,Darling Downs Region.4,Darling Downs Region.5,Darling Downs Region.6,Darling Downs Region.7,Darling Downs Region.8
"$2,697.69","$2,433.86",$263.83,9.78,"$2,687.45","$1,979.58",$707.87,26.34,(+16.56)
"$2,877.16","$2,619.37",$257.79,8.96,"$2,971.41","$2,263.92",$707.49,23.81,(+14.85)
"$2,918.45","$2,867.38",$51.07,1.75,"$2,997.74","$2,318.76",$678.98,22.65,(+20.87)
"$2,970.18","$2,653.86",$316.32,10.65,"$3,128.74","$2,263.33",$865.41,27.66,(+17.01)
"$2,998.18","$2,750.84",$247.34,8.25,"$3,297.81","$2,484.24",$813.56,24.67,(+16.42)
"$3,097.42","$2,758.26",$339.16,10.95,"$3,336.45","$2,541.05",$795.40,23.84,(+12.89)
"$3,102.67","$2,520.92",$581.75,18.75,"$3,378.41","$2,212.53","$1,165.88",34.51,(+15.78)
"$3,187.16","$3,012.19",$174.97,5.49,"$3,413.54","$2,573.47",$840.07,24.61,(+19.12)
"$3,394.57","$3,090.76",$303.81,8.95,"$3,459.61","$2,577.11",$882.20,25.50,(+16.55)
"$3,478.59","$3,092.47",$386.12,11.10,"$3,559.74","$2,648.09",$911.65,25.61,(+14.51)
"$3,548.61","$3,146.20",$402.41,11.34,"$3,569.35","$2,605.27",$964.08,27.01,(+15.67)
"$3,578.18","$3,120.54",$457.64,12.79,"$3,615.74","$2,499.20","$1,116.54",30.88,(+18.09)
"$3,641.80","$3,137.42",$504.38,13.85,"$3,618.74","$2,699.59",$919.15,25.4,(+11.55)
"$3,871.15","$3,664.82",$206.33,5.33,"$3,641.81","$2,681.47",$960.34,26.37,(+21.04)
"$3,872.15","$3,481.84",$390.31,10.08,"$3,698.49","$2,603.00","$1,095.49",29.62,(+18.82)
"$3,894.18","$3,223.22",$670.96,17.23,"$3,700.15","$2,459.12","$1,241.03",33.54,(+16.31)
"$3,971.81","$3,381.60",$590.21,14.86,"$3,784.78","$2,662.60","$1,122.18",29.65,(+14.79)
"$3,972.49","$3,554.41",$421.08,10.60,"$3,879.64","$2,714.59","$1,165.05",30.03,(+19.43)
"$4,008.17","$3,386.91",$621.26,15.50,"$3,994.10","$2,752.74","$1,241.36",31.08,(+15.58)
"$4,014.61","$3,160.31",$854.30,21.28,"$4,007.64","$2,765.68","$1,241.96",30.99,(+9.71)
"$4,017.52","$3,273.48",$744.04,18.52,"$4,087.64","$2,728.50","$1,359.14",33.25,(+14.73)
"$4,017.84","$3,310.71",$707.13,17.60,"$4,128.74","$2,729.93","$1,398.81",33.88,(+16.28)
"$4,188.51","$3,457.62",$730.89,17.45,"$4,191.41","$2,199.85",$1378.13,32.88,(+15.43)
"$4,208.74","$3,287.87",$920.87,21.88,"$4,197.74","$2,747.42","$1,450.32",34.55,(+12.67)
"$4,345.71","$3,437.03",$908.68,20.91,"$4,200.41","$2,749.23","$1,451.18",34.62,(+13.71)
Median,Median,Median,Median,Median,Median,Median,Median,Median
"$3,594.94","$3,129.40",$465.54,12.95,"$3,629.09","$2,616.94","$1,012.15",27.89,(+14.94)
