Control Group Average Advice Fee,Control Group Business Costs,Control Group Average Profit Margin,Control Group Average Profit (%),Sample Group Average Advice Fees,Sample Group Average Business Costs,Sample Group Average Profit Margin,Sample Group Average Profit (%),Resulting Profit Comparison from Introduction (%)
Wide Bay Burnett Region,Wide Bay Burnett Region,Wide Bay Burnett Region,Wide Bay Burnett Region,Wide Bay Burnett Region,Wide Bay Burnett Region,Wide Bay Burnett Region,Wide Bay Burnett Region,Wide Bay Burnett Region
"$2,178.39","$1,706.23",$472.05,21.67,"$2,396.31","$1,737.81",$658.50,27.48,(+5.81)
"$2,234.18","$1,931.68",$302.50,13.54,"$2,458.32","$1,744.43",$613.89,24.97,(+11.43)
"$2,345.16","$2,100.41",$234.75,10.01,"$2,490.41","$1,967.93",$522.48,20.98,(+10.97)
"$2,369.11","$2,186.46",$182.65,7.71,"$2,499.62","$2,006.20",$493.42,19.74,(+12.03)
"$2,394.78","$2,085.86",$308.92,12.90,"$2,565.71","$1,904.27",$661.44,25.78,(+12.88)
"$2,464.68","$2,138.36",$326.32,13.24,"$2,614.52","$2,216.39",$398.13,19.22,(+5.98)
"$2,478.27","$2,301.82",$176.45,7.12,"$2,628.40","$2,155.29",$473.11,17.99,(+10.87)
"$2,498.30","$2,331.92",$166.38,6.66,"$2,639.42","$2,118.93",$520.49,19.72,(+13.06)
"$2,499.16","$2,035.82",$463.34,18.56,"$2,654.84","$1,897.14",$757.70,28.54,(+9.98)
"$2,546.11","$2,312.13",$233.98,9.19,"$2,698.12","$2,135.88",$562.24,20.83,(+11.64)
"$2,564.78","$2,448.86",$115.92,4.52,"$2,669.62","$2,216.59",$453.03,16.97,(+12.47)
"$2,574.19","$2,172.38",$401.83,15.61,"$2,693.98","$1,973.61",$720.37,26.74,(+11.13)
"$2,579.12","$2,295.42",$283.70,11.00,"$2,710.40","$2,168.97",$514.43,18.98,(+7.94)
"$2,587.66","$2,130.68",$456.98,17.66,"$2,716.62","$2,049.95",$666.67,24.54,(+6.88)
"$2,601.47","$2,240.39",$361.08,13.88,"$2,733.53","$2,092.52",$641.01,23.45,(+9.57)
"$2,611.45","$2,158.89",$452.56,17.33,"$2,751.39","$1,942.60",$808.79,29.39,(+12.06)
"$2,617.41","$2,288.93",$328.48,12.55,"$2,759.82","$2,042.00",$717.82,26.01,(+13.46)
"$2,644.54","$2,267.96",$376.58,14.24,"$2,764.60","$2,068.17",$696.43,25.02,(+10.78)
"$2,671.45","$2,276.35",$395.10,14.79,"$2,771.37","$1,995.11",$776.26,28.01,(+13.22)
"$2,687.47","$2,251.03",$436.44,16.24,"$2,785.74","$2,297.13",$488.61,17.56,(+1.32)
"$2,704.58","$2,319.72",$384.86,14.23,"$2,852.35","$2,177.20",$675.15,23.67,(+9.44)
"$2,741.51","$2,236.53",$504.98,18.42,"$2,854.13","$1,973.06",$881.07,30.87,(+12.45)
"$2,754.12","$2,113.52",$640.60,23.26,"$2,873.02","$2,263.66",$609.36,21.21,(-2.05)
"$2,784.12","$2,456.71",$327.41,11.76,"$2,929.87","$2,406.31",$523.56,17.87,(+6.11)
"$2,784.55","$2,447.07",$337.48,12.12,"$2,958.29","$2,329.97",$628.32,21.24,(+9.12)
"$2,887.14","$2,441.50",$446.64,15.47,"$2,985.62","$2,263.70",$721.92,24.18,(+8.71)
"$2,989.64","$2,589.63",$400.01,13.38,"$2,988.61","$2,282.11",$706.50,23.64,(+10.26)
"$3,161.72","$2,379.52",$782.20,24.74,"$3,135.48","$2,418.40",$717.08,22.87,(–1.86)
"$3,181.04","$2,477.08",$703.96,22.13,"$3,195.62","$2,204.98",$990.64,31.01,(+8.88)
"$3,258.74","$2,581.58",$677.16,20.78,"$3,269.85","$2,282.69",$987.16,30.19,(+9.41)
Median,Median,Median,Median,Median,Median,Median,Median,Median
"$2,626.76","$2,247.15",$380.61,14.49,"$2,768.85","$2,114.84",$654.01,23.62,(+9.26)
